Word,oxford_level,oxford_version,lexile_grade,lexile_category,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized
2 - sup,NN,0,0,NN,N,N,N,NN,C1,,
a,A1,3000,0,NN,N,N,N,A1,A1,,
aback,NN,0,0,NN,N,N,N,B3,C1,,
abacus,NN,0,0,NN,N,N,N,C3,C3,,
abalone,NN,0,0,NN,N,N,N,C3,NN,,
abandon,B2,3000,0,NN,N,N,N,A2,A3,,
abandonment,NN,0,0,NN,N,N,N,B3,C1,,
abase,NN,0,0,NN,N,N,N,C4,NN,,
abash,NN,0,0,NN,N,N,N,C4,NN,,
abate,NN,0,0,NN,N,N,N,C1,C1,,
abatement,NN,0,0,NN,N,N,N,C1,C3,,
abattoir,NN,0,0,NN,N,N,N,C2,C2,,
abaya,NN,0,0,NN,N,N,N,C5,C2,,
abbacy,NN,0,0,NN,N,N,N,C4,NN,,
abbess,NN,0,0,NN,N,N,N,C3,NN,,
abbey,NN,0,0,NN,N,N,N,B3,C1,,
abbot,NN,0,9,social_studies,N,N,N,C1,C3,,
abbreviate,NN,0,9,general,Y,N,N,B3,C1,,
abbreviation,NN,0,6,general,Y,N,N,B3,C1,,
abdicate,NN,0,9,social_studies,N,N,N,C1,C1,,
abdication,NN,0,0,NN,N,N,N,C2,C2,,
abdomen,NN,0,6,science,Y,N,N,B3,B3,,
abdominal,NN,0,9,science,N,N,N,A4,A4,,
abduct,NN,0,0,NN,N,N,N,B3,B2,,
abduction,NN,0,0,NN,N,N,N,C1,B3,,
abductor,NN,0,0,NN,N,N,N,C3,C2,,
abed,NN,0,0,NN,N,N,N,C4,NN,,
abelian,NN,0,0,NN,N,N,N,C4,NN,,
aberrant,NN,0,0,NN,N,N,N,C1,C2,,
aberration,NN,0,9,science,N,N,N,C1,C1,,
abet,NN,0,0,NN,N,N,N,C1,C1,,
abettor,NN,0,0,NN,N,N,N,C5,NN,,
abeyance,NN,0,0,NN,N,N,N,C3,C2,,
abhor,NN,0,0,NN,N,N,N,C1,C1,,
abhorrence,NN,0,0,NN,N,N,N,C3,NN,,
abhorrent,NN,0,0,NN,N,N,N,C2,C1,,
abide,NN,0,0,NN,N,Y,N,B2,B1,,
abigail,NN,0,0,NN,Y,N,N,NN,NN,,
ability,A2,3000,4,general,N,N,N,A1,A1,,
abiotic,NN,0,4,science,N,N,N,C4,NN,,
abject,NN,0,0,NN,N,N,N,C1,C1,,
abjectly,NN,0,0,NN,N,N,N,C4,NN,,
abjure,NN,0,0,NN,N,N,N,C3,NN,,
ablate,NN,0,0,NN,N,N,N,C4,NN,,
ablation,NN,0,0,NN,N,N,N,C3,NN,,
ablative,NN,0,0,NN,N,N,N,C4,NN,,
ablaze,NN,0,0,NN,N,N,N,C1,C1,,
able,NN,0,0,NN,N,N,N,A1,A1,,
ablution,NN,0,0,NN,N,N,N,C3,NN,,
ably,NN,0,9,general,N,N,N,C2,C3,,
abnormal,NN,0,6,science,Y,N,N,B2,B2,,
abnormality,NN,0,0,NN,N,N,N,B2,C1,,
abnormally,NN,0,9,science,N,N,N,C1,C2,,
aboard,NN,0,0,NN,N,Y,N,B1,B1,,
abode,NN,0,6,social_studies,N,N,N,C1,C2,,
abolish,C1,5000,4,social_studies,N,N,Y,B1,B1,,
abolition,NN,0,5,social_studies,N,N,N,B2,B2,,
abolitionism,NN,0,9,social_studies,N,N,N,C4,NN,,
abolitionist,NN,0,4,social_studies,Y,N,N,C1,C1,,
abomasum,NN,0,0,NN,N,N,N,C4,NN,,
abominable,NN,0,0,NN,N,N,N,C2,C2,,
abominably,NN,0,0,NN,N,N,N,C4,NN,,
abomination,NN,0,6,social_studies,N,N,N,C2,C2,,
aborad,NN,0,0,NN,N,N,N,C4,NN,,
aboriginal,NN,0,9,social_studies,N,N,N,C1,C1,,
aborigine,NN,0,6,social_studies,N,N,N,C3,C2,,
abort,NN,0,0,NN,N,N,N,B3,B3,,
abortion,NN,0,0,NN,N,N,N,A3,A2,,
abortionist,NN,0,0,NN,N,N,N,C4,NN,,
abortive,NN,0,0,NN,N,N,N,C1,C3,,
abound,NN,0,0,NN,N,N,N,B2,C1,,
about,A1,3000,0,NN,N,N,N,A1,A1,,
above,A1,3000,0,NN,N,N,N,A1,A2,,
aboveground,NN,0,0,NN,N,N,N,C3,NN,,
abracadabra,NN,0,0,NN,N,N,N,C5,C3,,
abrade,NN,0,0,NN,N,N,N,C4,NN,,
abraham,NN,0,0,NN,Y,N,N,NN,NN,,
abrasion,NN,0,6,science,Y,N,N,C2,C2,,
abrasive,NN,0,9,science,N,N,N,C1,C1,,
abreast,NN,0,0,NN,N,N,N,C1,C1,,
abridge,NN,0,9,social_studies,N,N,N,C2,C2,,
abridgment,NN,0,0,NN,N,N,N,C3,C2,,
abroad,NN,0,6,social_studies,N,N,N,A2,A3,,
abrogate,NN,0,0,NN,N,N,N,C2,C2,,
abrupt,NN,0,0,NN,N,N,N,B2,B3,,
abruptly,NN,0,9,general,N,N,N,B1,B3,,
abruptness,NN,0,0,NN,N,N,N,C4,NN,,
abscess,NN,0,0,NN,N,N,N,C1,C2,,
abscissa,NN,0,0,NN,N,N,N,C4,NN,,
abscond,NN,0,0,NN,N,N,N,C2,C2,,
abseil,NN,0,0,NN,N,N,N,C2,NN,,
absence,C1,5000,9,general,N,N,N,A2,A3,,
absent,NN,0,0,NN,Y,Y,N,B1,B1,,
absentee,NN,0,9,social_studies,N,N,N,B3,B1,,
absenteeism,NN,0,0,NN,N,N,N,C1,C2,,
absently,NN,0,0,NN,N,N,N,C3,NN,,
absentmindedly,NN,0,0,NN,N,N,N,C4,NN,,
absolute,B2,3000,6,general,N,N,N,A3,A3,,
absolutely,B1,3000,0,NN,N,N,N,A2,A1,,
absolution,NN,0,0,NN,N,N,N,C2,C3,,
absolutism,NN,0,9,social_studies,N,N,N,C2,NN,,
absolutist,NN,0,0,NN,N,N,N,C2,C2,,
absolve,NN,0,0,NN,N,N,N,C1,C1,,
absorb,B2,5000,3,science,Y,Y,Y,A3,A3,,
absorbency,NN,0,0,NN,N,N,N,C5,C3,,
absorbent,NN,0,0,NN,N,N,N,C3,C2,,
absorber,NN,0,0,NN,N,N,N,C3,C2,,
absorption,NN,0,6,science,N,N,Y,A4,A4,,
absorptive,NN,0,0,NN,N,N,N,C3,NN,,
abstain,NN,0,0,NN,N,N,N,C1,B3,,
abstainer,NN,0,0,NN,N,N,N,C4,NN,,
abstemious,NN,0,0,NN,N,N,N,C3,NN,,
abstention,NN,0,0,NN,N,N,N,C1,C2,,
abstinence,NN,0,0,NN,N,N,N,C1,B2,,
abstinent,NN,0,0,NN,N,N,N,C5,C2,,
abstract,B2,5000,0,NN,N,N,N,A3,A3,,
abstraction,NN,0,0,NN,N,N,N,B2,C1,,
abstractly,NN,0,6,math,N,N,N,C4,NN,,
abstractness,NN,0,0,NN,N,N,N,C4,NN,,
abstruse,NN,0,0,NN,N,N,N,C3,NN,,
absurd,NN,0,0,NN,N,N,N,B1,B1,,
absurdity,NN,0,9,social_studies,N,N,N,C1,C1,,
absurdly,NN,0,0,NN,N,N,N,C1,C2,,
abundance,C1,5000,9,general,Y,N,N,B1,B2,,
abundant,NN,0,6,social_studies,Y,N,N,B1,B2,,
abundantly,NN,0,0,NN,N,N,N,C1,C1,,
abuse,C1,5000,0,NN,N,N,N,A2,A2,,
abuser,NN,0,0,NN,N,N,N,C1,B3,,
abusive,NN,0,0,NN,N,N,N,B2,B2,,
abut,NN,0,0,NN,N,N,N,C1,C1,,
abutment,NN,0,0,NN,N,N,N,C4,C3,,
abuzz,NN,0,0,NN,N,N,N,C3,C2,,
abysmal,NN,0,0,NN,N,N,N,C2,C1,,
abysmally,NN,0,0,NN,N,N,N,C5,NN,,
abyss,NN,0,0,NN,N,N,N,C1,C1,,
abyssal,NN,0,5,science,N,N,N,C4,NN,,
ac,NN,0,0,NN,Y,N,N,NN,NN,,
acacia,NN,0,0,NN,Y,N,N,C3,C2,,
academia,NN,0,0,NN,N,N,N,C1,C1,,
academic,B1,3000,6,general,N,N,N,A2,A3,,
academically,NN,0,0,NN,N,N,N,C1,B2,,
academician,NN,0,0,NN,N,N,N,C3,C3,,
academy,C1,5000,0,NN,Y,N,N,B1,B1,,
acanthocephalan,NN,0,0,NN,N,N,N,C4,NN,,
acanthus,NN,0,0,NN,N,N,N,C4,NN,,
accede,NN,0,0,NN,N,N,N,C1,C2,,
accelerate,C1,5000,4,science,Y,N,Y,A4,A4,,
acceleration,NN,0,4,science,Y,N,N,A4,A4,,
accelerator,NN,0,9,science,N,N,N,B3,B3,,
accelerometer,NN,0,0,NN,N,N,N,C4,NN,,
accent,B2,5000,0,NN,Y,Y,N,A3,A3,,
accentual,NN,0,0,NN,N,N,N,C4,NN,,
accentuate,NN,0,0,NN,N,N,N,B3,C1,,
accentuation,NN,0,0,NN,N,N,N,C4,NN,,
accept,A2,3000,0,NN,N,N,N,A1,A1,,
acceptability,NN,0,0,NN,N,N,N,C1,C2,,
acceptable,B2,3000,0,NN,N,N,N,A3,A3,,
acceptance,C1,5000,9,general,Y,Y,Y,A4,B1,,
acceptation,NN,0,0,NN,N,N,N,C5,NN,,
acceptor,NN,0,9,science,N,N,N,C3,NN,,
access,B1,3000,0,NN,N,N,N,A1,A1,,
accessibility,NN,0,0,NN,N,N,N,B2,B1,,
accessible,C1,5000,9,general,Y,Y,Y,B1,B1,,
accession,NN,0,0,NN,N,N,N,B2,C1,,
accessorize,NN,0,0,NN,N,N,N,C4,NN,,
accessory,NN,0,0,NN,N,Y,N,B1,B2,,
accident,A2,3000,0,NN,N,N,N,A2,A2,,
accidental,NN,0,0,NN,N,N,N,B2,B2,,
accidentally,B2,5000,0,NN,Y,N,N,B2,B1,,
acclaim,NN,0,6,social_studies,Y,Y,N,B2,B2,,
acclamation,NN,0,0,NN,N,N,N,C3,C2,,
acclimate,NN,0,0,NN,N,N,N,C3,C1,,
acclimatization,NN,0,0,NN,N,N,N,C4,NN,,
acclimatize,NN,0,0,NN,N,N,N,C2,C2,,
accolade,NN,0,0,NN,N,N,N,C1,C1,,
accommodate,B2,5000,9,general,Y,Y,Y,B1,B1,,
accommodation,B1,3000,6,social_studies,N,N,N,A2,A3,,
accompaniment,NN,0,0,NN,Y,N,N,B3,C1,,
accompanist,NN,0,0,NN,N,N,N,C3,C2,,
accompany,B2,3000,0,NN,N,N,N,A2,A3,,
accomplice,NN,0,0,NN,N,N,N,C1,C1,,
accomplish,B2,5000,0,NN,N,N,N,A3,A2,,
accomplishment,C1,5000,0,NN,Y,Y,Y,B1,B1,,
accord,NN,0,0,NN,N,N,N,A1,A1,,
accordance,C1,5000,0,NN,N,N,Y,B1,B2,,
accordant,NN,0,0,NN,N,N,N,C5,NN,,
according,A2,3000,0,NN,N,N,N,NN,NN,,
accordingly,C1,5000,0,NN,N,Y,Y,B1,B2,,
accordion,NN,0,0,NN,N,N,N,C1,C1,,
accordionist,NN,0,0,NN,N,N,N,C4,C2,,
accost,NN,0,0,NN,N,N,N,C2,C1,,
account,B1,3000,0,NN,N,N,N,A1,A1,,
accountability,C1,5000,0,NN,N,N,Y,B1,B1,,
accountable,C1,5000,9,social_studies,N,N,Y,B1,B1,,
accountancy,NN,0,0,NN,N,N,N,B3,C2,,
accountant,B2,5000,0,NN,Y,Y,Y,B1,B1,,
accoutrement,NN,0,0,NN,N,N,N,C2,C3,,
accredit,NN,0,0,NN,N,N,N,C1,C1,,
accreditation,NN,0,0,NN,N,N,N,C1,B3,,
accrete,NN,0,0,NN,N,N,N,C3,NN,,
accretion,NN,0,9,science,N,N,N,C1,NN,,
accretionary,NN,0,0,NN,N,N,N,C5,NN,,
accrual,NN,0,0,NN,N,N,Y,C1,NN,,
accrue,NN,0,0,NN,N,N,Y,B2,B3,,
acculturate,NN,0,0,NN,N,N,N,C5,C3,,
acculturation,NN,0,0,NN,N,N,N,C4,NN,,
accumulate,C1,5000,0,NN,Y,Y,Y,A4,A4,,
accumulation,C1,5000,9,science,Y,N,Y,A4,A4,,
accumulative,NN,0,0,NN,N,N,N,C4,C2,,
accumulator,NN,0,0,NN,N,N,N,C3,C3,,
accuracy,B2,5000,5,general,Y,Y,Y,A4,A4,,
accurate,B2,3000,4,general,N,N,N,A3,A2,,
accurately,B2,5000,6,general,Y,Y,Y,A4,A4,,
accurse,NN,0,0,NN,N,N,N,C4,NN,,
accursed,NN,0,9,social_studies,N,N,N,NN,NN,,
accusation,C1,5000,6,social_studies,N,N,Y,B1,B1,,
accusative,NN,0,0,NN,N,N,N,C2,NN,,
accusatory,NN,0,0,NN,N,N,N,C3,NN,,
accuse,B2,3000,5,social_studies,N,N,N,A2,A2,,
accused,C1,5000,0,NN,N,N,N,NN,NN,,
accuser,NN,0,0,NN,N,N,N,C1,B3,,
