73,00:08:02.857,00:08:07.653,"['From', 'the', 'Greek', 'word', 'pi–', '""to', 'drink.""']"
74,00:08:07.737,00:08:10.989,"['The', 'beast', 'was', 'once', 'a', 'mortal', 'man']"
75,00:08:11.073,00:08:16.328,"['who', 'summoned', 'a', 'demon', 'from', 'the', 'depths', 'of', 'hell', 'to', 'trade', 'for', 'his', 'dark', 'power.']"
76,00:08:16.412,00:08:20.666,"['The', 'demon', 'tricked', 'the', 'man,', 'granting', 'his', 'wish,']"
77,00:08:20.750,00:08:25.003,"['but', 'his', 'price', 'was', 'an', 'eternity', 'condemned', 'to', 'the', 'darkness', 'of', 'that', 'cave']"
78,00:08:25.087,00:08:28.508,"['where', 'he', 'remains', 'until', 'he', 'finds', 'another']"
79,00:08:29.551,00:08:31.052,"['to', 'set', 'him', 'free.']"
80,00:08:31.803,00:08:34.096,"['Now', 'you', 'know', 'its', 'true', 'face.']"
81,00:08:36.265,00:08:39.977,"['The', 'people', 'of', 'Transylvania', 'live', 'in', 'enough', 'fear', 'of', 'the', 'Turks’', 'return.']"
82,00:08:41.395,00:08:43.648,"['Promise', 'me', 'you’ll', 'guard', 'this', 'secret,', 'brother.']"
86,00:08:55.868,00:08:57.911,['Papa!']
88,00:08:57.995,00:09:00.372,"['I', 'missed', 'you.']"
89,00:09:00.456,00:09:01.958,"['VLAD:', 'And', 'I', 'you.']"
90,00:09:04.126,00:09:05.920,"['My', 'big', 'soldier.']"
91,00:09:10.299,00:09:12.467,"['What,', 'an', 'embrace', 'but', 'no', 'kiss?']"
92,00:09:12.552,00:09:15.847,"['Are', 'we', 'going', 'to', 'argue?']"
93,00:09:12.552,00:09:15.847,"['With', 'you', 'always', 'leaving,', 'I', 'need', 'my', 'fill.']"
94,00:09:18.057,00:09:20.226,"['Oh,', 'I’ve', 'missed', 'you.']"
95,00:09:22.604,00:09:24.606,"['Something', 'troubles', 'you.', 'What', 'is', 'it?']"
96,00:09:27.066,00:09:29.610,"['Only', 'the', 'impossible', 'depth', 'of', 'your', 'beauty.']"
97,00:09:29.694,00:09:32.738,"['Puts', 'the', 'rest', 'of', 'the', 'world', 'to', 'shame.']"
98,00:09:32.822,00:09:35.741,"['Pay', 'no', 'attention', 'to', 'your', 'father,', 'Ingeras.']"
99,00:09:35.825,00:09:38.160,"['Flattery', 'is', 'a', 'cheap', 'distraction', 'from', 'truth.']"
100,00:09:38.244,00:09:39.995,"['She', 'knows', 'all', 'my', 'tricks.']"
101,00:09:40.079,00:09:41.747,"['You’re', 'a', 'terrible', 'liar.']"
102,00:09:41.831,00:09:44.250,"['It’s', 'one', 'of', 'your', 'most', 'endearing', 'qualities.']"
103,00:09:45.501,00:09:47.503,"['You’re', 'just', 'in', 'time', 'for', 'bed.']"
106,00:09:56.137,00:09:58.639,"['-Can', 'we', 'go', 'riding', 'tomorrow,', 'Papa?', '-Of', 'course', 'we', 'can.']"
107,00:09:58.723,00:10:01.099,"['-You', 'most', 'certainly', 'cannot.', '-Why', 'not?']"
108,00:10:01.183,00:10:03.101,"['Because', 'tomorrow', 'is', 'the', 'day', 'of', 'our', 'risen', 'Lord.']"
109,00:10:03.185,00:10:05.605,"['-Of', 'course.', '-That’s', 'Easter.']"
110,00:10:06.230,00:10:07.982,"['What', 'was', 'I', 'thinking?']"
111,00:10:14.196,00:10:15.990,"['So', 'what', 'attacked', 'you?']"
112,00:10:17.116,00:10:18.618,['Wolves?']
113,00:10:19.869,00:10:21.704,"['I', 'suppose.']"
114,00:10:28.127,00:10:31.923,"['All', 'I', 'know', 'is', 'that', 'I’ve', 'lost', 'two', 'good', 'men', 'today.']"
115,00:10:49.440,00:10:51.400,"['There’s', 'something', 'more.']"
116,00:10:53.736,00:10:57.657,"['I', 'was', 'the', 'same', 'age', 'as', 'Ingeras', 'when', 'I', 'was', 'sent', 'to', 'live', 'with', 'the', 'Turks.']"
117,00:10:59.826,00:11:01.368,"['To', 'fight', 'for', 'them.']"
118,00:11:03.996,00:11:07.249,"['If', 'I', 'never', 'saw', 'another,', 'it', 'would', 'be', 'too', 'soon.']"
119,00:11:11.045,00:11:12.839,"['You’re', 'home', 'now.']"
120,00:11:14.673,00:11:17.676,"['For', 'almost', 'as', 'many', 'years', 'as', 'you', 'were', 'gone.']"
121,00:11:18.928,00:11:21.138,"['I', 'just', 'want', 'peace.']"
122,00:11:22.264,00:11:23.766,"['That’s', 'all.']"
126,00:11:49.375,00:11:51.376,"['an', 'Easter', 'toast.']"
