words,counts
oh,47
right,42
good,41
okay,40
one,38
know,32
well,29
like,28
eleanor,27
people,25
place,22
say,22
get,19
michael,18
let,17
hey,17
uh,16
neighborhood,16
really,16
see,15
bad,15
mean,15
gonna,14
something,14
help,14
yes,14
go,14
every,14
got,14
think,14
chidi,14
way,13
person,12
fun,12
yeah,12
thank,12
want,12
everyone,11
tahani,11
time,11
soul,11
tell,11
guys,10
little,10
love,10
janet,10
come,10
could,10
great,9
um,9
actually,9
sorry,9
ah,8
fine,8
man,8
maybe,8
would,8
jianyu,8
question,8
day,8
look,8
never,8
dog,8
system,8
perfect,8
first,7
mate,7
sure,7
back,7
work,7
flying,7
make,7
fork,7
house,7
gah,7
life,7
wait,6
made,6
still,6
better,6
much,6
ooh,6
two,6
together,6
else,6
cool,6
hi,6
called,6
anything,6
might,6
best,6
welcome,6
trash,6
hello,6
put,6
need,6
thing,6
home,5
garbage,5
said,5
thought,5
remember,5
dead,5
kind,5
live,5
anagonye,5
mistake,5
lived,5
even,5
ever,5
mm,5
wrong,5
someone,5
everything,5
million,5
name,5
feel,4
real,4
perfectly,4
minutes,4
stop,4
talk,4
earth,4
things,4
arizona,4
around,4
job,4
went,4
moral,4
guess,4
tonight,4
going,4
single,4
must,4
hands,4
happening,4
entire,4
clowns,4
everybody,4
nice,4
night,4
thinking,4
pick,4
eternity,4
lot,4
trying,4
universe,4
poo,4
doug,4
full,4
pretty,4
die,4
bit,4
supposed,4
us,4
shh,4
believe,4
five,4
died,4
true,4
used,4
ask,4
long,4
breathe,4
try,4
strength,3
test,3
selfish,3
teacup,3
happened,3
except,3
ethics,3
senegal,3
run,3
designated,3
face,3
exactly,3
show,3
seems,3
stomachache,3
shopping,3
spent,3
give,3
spend,3
speaking,3
grass,3
take,3
course,3
driver,3
giant,3
getting,3
favorite,3
country,3
start,3
started,3
shellstrop,3
gunnar,3
sucks,3
swear,3
control,3
teach,3
shrimp,3
cause,3
cleaning,3
whose,3
huh,3
whole,3
took,3
hurrah,3
antonio,3
call,3
area,3
questions,3
butthead,3
phoenix,3
keep,3
ash,3
truly,3
mates,3
wanted,3
boy,3
born,3
please,3
understand,3
professor,3
lawyer,3
chance,3
big,3
afterlife,3
news,3
hole,3
nothing,3
choice,3
child,3
rights,3
worse,3
accent,3
today,3
new,3
chaos,3
neighborhoods,3
next,2
places,2
play,2
pill,2
forcett,2
magical,2
monk,2
forget,2
playing,2
flaw,2
point,2
pointless,2
forked,2
literally,2
forkin,2
found,2
lie,2
free,2
otters,2
medicine,2
matter,2
met,2
simply,2
morals,2
mix,2
silence,2
party,2
part,2
mountain,2
feed,2
mines,2
feeling,2
lick,2
meant,2
felt,2
fighting,2
figure,2
excuse,2
philosophers,2
philosophy,2
nasapro,2
meeting,2
medium,2
everywhere,2
feels,2
seen,2
present,2
hot,2
inside,2
raining,2
raised,2
reason,2
important,2
idea,2
relief,2
human,2
ethical,2
hours,2
ha,2
half,2
running,2
hang,2
lead,2
happen,2
happens,2
happiness,2
row,2
harm,2
roller,2
hate,2
holding,2
hmm,2
heading,2
hear,2
history,2
heaven,2
instagram,2
quick,2
grande,2
grab,2
friends,2
front,2
frozen,2
probably,2
problem,2
helping,2
land,2
gary,2
gay,2
gears,2
ladybug,2
promise,2
gets,2
knew,2
giraffe,2
prove,2
killed,2
second,2
kid,2
puking,2
school,2
pull,2
saying,2
kendall,2
joy,2
saw,2
jenner,2
yogurt,2
situation,2
eternal,2
bravo,2
cloth,2
close,2
cleaned,2
clean,2
cincinnati,2
thousand,2
choosing,2
tiny,2
change,2
chalkboard,2
told,2
carts,2
top,2
cared,2
total,2
totally,2
buddhist,2
clothes,2
coasters,2
collected,2
technically,2
sun,2
death,2
sweat,2
cup,2
taking,2
talking,2
correct,2
tempe,2
college,2
condescending,2
tennis,2
terrifying,2
community,2
common,2
com,2
column,2
truth,2
u,2
definitely,2
ukraine,2
whee,2
anyway,2
anyone,2
whew,2
anybody,2
whoa,2
whoo,2
amazing,2
always,2
almost,2
worst,2
africa,2
wow,2
adore,2
years,2
act,2
access,2
whatever,2
architect,2
ariana,2
beep,2
book,2
unless,2
blade,2
bird,2
bet,2
value,2
begin,2
beautiful,2
aristotle,2
volunteer,2
walk,2
wallet,2
awesome,2
away,2
watching,2
asking,2
defense,2
canyon,2
obviously,2
duty,2
dropped,2
special,2
desk,2
earlier,2
designed,2
sounds,2
storm,2
e,2
somebody,2
specific,2
ended,2
environment,2
design,2
dishonest,2
stay,2
spot,2
dude,2
elderly,2
deserve,2
side,1
walking,1
picking,1
weather,1
vow,1
w,1
wedding,1
volunteers,1
plaything,1
soup,1
picked,1
plan,1
sign,1
watch,1
siblings,1
sound,1
pickup,1
sick,1
warm,1
pig,1
vocalized,1
wearing,1
ways,1
pictured,1
water,1
picture,1
plenty,1
vietnam,1
virtue,1
princess,1
preconditions,1
prefer,1
shrampies,1
president,1
upstairs,1
primitive,1
principle,1
plowed,1
private,1
unselfish,1
unpaid,1
sponsored,1
unique,1
problems,1
precisely,1
using,1
