title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max,running_time(sec),weight
13TH,3732,833,606,115,44,44,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735,5744.28,0.6267103971254884
About.Time,3220,317,257,47,27,14,2.182928247040382,1.0945440268044817,0.5034401745259272,6.08,6962.126,0.5170834311243433
Arthur.Christmas,2293,228,240,106,49,39,2.156860271747184,0.925752334001934,0.5102040816326531,5.2631578947368425,5404.775,0.6660776813095828
Baby.Driver,2849,246,351,77,21,43,2.833973976945636,1.2497040481625006,0.574052812858783,10.657193605683837,6654.023,0.5410260830177474
Bad.Boys,3707,344,392,94,57,40,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092,6847.716,0.5257227373331487
Bee.Movie,2940,421,379,76,30,62,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239,5425.42,0.6635430989674532
Ben.Platt.Live.from.Radio.City.Music.Hall,1157,76,78,12,7,14,3.827371264179285,1.1112267038672807,1.1415525114155252,6.657789613848203,4747.034,0.7583682779605119
Bo.Burnham_.Inside,983,117,70,11,5,8,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318,4635.882,0.7765512582071762
Bo.Burnham_.Make.Happy,1165,119,137,22,21,20,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008,3394.307,1.0605994095407398
Chasing.Coral,2526,300,439,54,21,25,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548,4916.328,0.7322538284670997
Constantine,1809,202,217,34,22,17,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801,7066.519,0.5094446077340201
Dave.Chappelle_.Sticks.&.Stones,2203,217,247,40,33,32,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,3875.831,0.928833068314898
Dave.Chappelle_.Sticks._.Stones,2357,217,251,35,29,32,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,3875.831,0.928833068314898
David.Attenborough_.A.Life.on.Our.Planet,2035,413,384,59,15,22,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561,4547.543,0.7916362747971818
Disclosure,3793,425,520,90,53,91,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913,6160.988,0.5843218652592733
Dolittle,2120,279,240,65,24,29,2.84114594877296,1.0103110876284729,0.5739063894911364,6.393180607352158,5530.859,0.6508934688083713
Dracula.Untold,1162,146,156,39,7,2,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397,5038.199,0.7145410492916219
Enola.Holmes,2616,342,270,62,25,22,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284,6947.667,0.5181595490975603
FYRE_.The.Greatest.Party.That.Never.Happened,4679,576,431,78,36,56,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154,5702.947,0.631252578710621
Heroin(e),1318,162,117,32,7,10,3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093,2198.946,1.637147979077249
How.to.Be.Single,3698,285,267,64,57,28,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942205,6134.795,0.586816674395803
In.Time,2094,194,116,23,1,7,2.1817857925317656,0.9454910082738188,0.5047955577990914,5.483207676490747,6094.504,0.5906961419665981
Inception,3819,321,215,118,26,20,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701,8311.387,0.4331407020272308
Inside.Job,3689,1192,801,72,27,44,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351,6440.601,0.5589540479219254
Interstellar,4158,572,524,107,43,79,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559,9747.112,0.3693401696830815
It_s.Complicated,3606,243,219,44,18,18,2.5534044672116547,1.2299187840806922,0.5105948429920858,8.513931888544892,6786.916,0.5304323790069009
Jumanji_.Welcome.to.the.Jungle,3014,283,330,73,31,40,3.016157318267156,1.1654453547987258,0.5212405525149857,6.960556844547564,6534.903,0.5508880544975189
Kill.Bill_.Vol..1,1011,127,161,31,34,18,2.6019456073959777,1.0450383633067126,0.7861635220125786,6.784260515603799,6106.517,0.5895340993892263
Kiss.the.Ground,2571,557,519,92,36,63,2.79560818204367,0.8693533696545789,0.8718395815170008,7.9908675799086755,4910.947,0.7330561702254168
Klaus,2433,168,155,72,24,26,3.020931925480352,1.0618716666605532,0.6224496853171035,7.677543186180422,5366.792,0.6707917877197401
Knock.Down.The.House,2393,386,203,41,12,19,3.177433527778789,0.9741330359763908,0.6438789507572577,5.99828620394173,4908.195,0.7334671910957083
Kung.Fu.Panda,1514,176,140,61,4,20,2.0365501107660164,0.8887717325151913,0.5047955577990914,4.926108374384237,4953.949,0.7266929877558288
Kung.Fu.Panda.2,1556,176,137,77,17,21,2.15909521340858,1.0604488785211243,0.5211047420531527,7.104795737122559,4838.917,0.743968123445804
Kung.Fu.Panda.3,2052,177,148,91,26,21,2.958068006751806,1.09919636176047,0.7490636704119851,7.6701821668264625,4910.655,0.7330997596043706
Madagascar_.Escape.2.Africa,2610,268,248,62,23,35,2.1428165483443258,0.9677827230783556,0.5370775309778647,17.471410419313848,5059.847,0.7114839638431756
Matilda,2205,210,202,43,34,43,2.366782935229115,0.970391247054221,0.5511160099200881,5.535055350553506,5511.673,0.6531592131826398
Monty.Python.and.the.Holy.Grail,1816,279,310,96,21,58,2.3109665049380435,1.0835645635936977,0.5448601525608427,8.191925102399063,5092.504,0.7069213887706323
Morning.Glory,3917,422,352,80,47,75,3.362235475330574,1.2565018908423016,0.639386189258312,7.994186046511628,6127.704,0.5874957406558803
Notting.Hill,3338,321,276,60,45,32,2.9677860241580265,1.125350855405116,0.62266500622665,7.6701821668264625,7036.279,0.5116340611280479
