title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max,WPS_mean_nlln
13TH,0.609863289328678,0.7630387104381956,0.6118986762554289,0.8469817692904082,0.37738464231487096,0.4269963936042441,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735,0.5167590405651215
About.Time,0.374061013109282,0.17461872566366993,0.14766261737164924,0.21012492156726972,0.1869899836316957,0.09488522531960845,2.182928247040382,1.0945440268044817,0.5034401745259272,6.08,0.08173799823358784
Arthur.Christmas,0.32587962590226893,0.1548208302751715,0.19837064299736082,0.8274174642563383,0.44818543045339637,0.40089553790674104,2.156860271747184,0.925752334001934,0.5102040816326531,5.2631578947368425,0.06718156123622882
Baby.Driver,0.33080201800093983,0.12397602846898907,0.25485738087448534,0.441517564050297,0.15063257575619732,0.35659070493870104,2.833973976945636,1.2497040481625006,0.574052812858783,10.657193605683837,0.44528392165780806
Bad.Boys,0.47338428303495084,0.2024401814910024,0.28528640220578944,0.5449601805532429,0.41082240993644836,0.32008718264938846,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092,0.2629476267886942
Bee.Movie,0.4740710095865815,0.3642821083346447,0.3706506442342971,0.558443416700945,0.270132595824456,0.6485185114347144,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239,0.32437718527094356
Ben.Platt.Live.from.Radio.City.Music.Hall,0.0984721186011239,0.0,0.009014366444059105,0.007444036926410907,0.06598054773314617,0.15005155887859292,3.827371264179285,1.1112267038672807,1.1415525114155252,6.657789613848203,1.0
Bo.Burnham_.Inside,0.058552455772302656,0.05458178718029233,0.0,0.0,0.04604013852849853,0.07811711510681371,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318,0.4059150853303647
Bo.Burnham_.Make.Happy,0.22380168946068107,0.1126703010503644,0.171000163480272,0.197196352493989,0.3032257131104707,0.32307706328976815,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008,0.7670027357315442
Chasing.Coral,0.4386788481211822,0.26623438368742935,0.5022269009745526,0.41328954115198474,0.20679412242868567,0.2756246599495778,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548,0.6089136098789016
Constantine,0.11392221162193827,0.07438227397152986,0.10565514199252414,0.11704298416905803,0.1484821213891133,0.11809812439492613,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801,0.09589448910502317
Dave.Chappelle_.Sticks.&.Stones,0.5074542789424221,0.2364639857490119,0.32916945301286665,0.3814474282396285,0.42040640467767265,0.46206585775092673,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,0.7529603102074788
Dave.Chappelle_.Sticks._.Stones,0.5575069577008365,0.2364639857490119,0.3361553531521886,0.31953107102757633,0.368446718403826,0.46206585775092673,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,0.7529603102074788
David.Attenborough_.A.Life.on.Our.Planet,0.3551552378596314,0.4424799805826378,0.469376173460743,0.5088116331158218,0.15780693566008616,0.2610842831241425,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561,0.12963211113795287
Disclosure,0.5669804480656091,0.3133242469095974,0.4691111286334971,0.5872365955151505,0.4248476529642704,0.8450409949201183,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913,0.6349686514833471
Dolittle,0.2742937101805959,0.2036735206798242,0.19151847143847237,0.4501709745632902,0.210208090912564,0.28492629385219853,2.84114594877296,1.0103110876284729,0.5739063894911364,6.393180607352158,0.44928877262444666
Dracula.Untold,0.08197849356120447,0.07670743968700627,0.10738298475559702,0.25764282946598366,0.06169001806021648,0.0,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397,0.1423463160902012
Enola.Holmes,0.26575958723859094,0.19646280180395043,0.16084840383743956,0.3144213489602484,0.1729031905642528,0.16282828099206592,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284,0.6851275479585942
FYRE_.The.Greatest.Party.That.Never.Happened,0.8249758585535609,0.5027058453146568,0.40936021409783624,0.5425572585518688,0.3095540919004279,0.5539690247446902,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154,0.7111676813111356
Heroin(e),0.5464849963072608,0.34106027565855224,0.2579526351988846,0.5845670803843313,0.15200995224089764,0.24402612752612798,3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093,0.802555494342954
How.to.Be.Single,0.5507844739509651,0.180085536334449,0.1923939709732849,0.3868195132863968,0.4595238528932054,0.24499598540703685,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942205,0.5514244994227278
In.Time,0.22426337729581902,0.09358458380077535,0.026628968537371636,0.06724628163568168,0.0,0.04418860263584707,2.1817857925317656,0.9454910082738188,0.5047955577990914,5.483207676490747,0.08110004814770752
Inception,0.3702663716555126,0.13374498208653507,0.072892547843794,0.5675269230960732,0.1492356006769164,0.11813496265606785,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701,0.3978699773871899
Inside.Job,0.5129698017737211,1.0,0.7396374418348294,0.42266178555178796,0.20280035178394304,0.3783087550143381,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351,0.19383423552438125
Interstellar,0.3288190608338926,0.25241076103704674,0.26169052912067164,0.41299212149166364,0.21384681831454777,0.45316891074089366,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559,0.4190526004880852
