title,WPS_mean,WPS_std,WPS_min,WPS_max
13TH,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735
About.Time,2.182928247040382,1.0945440268044815,0.5034401745259272,6.08
Anne.with.an.E,3.0983483187271137,0.9453407086079024,0.5920663114268798,6.849315068493151
Arthur.Christmas,2.156860271747184,0.9257523340019339,0.5102040816326531,5.2631578947368425
Baby.Driver,2.8339739769456362,1.2497040481625006,0.574052812858783,10.657193605683837
Bad.Boys,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092
Bee.Movie,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239
Ben.Platt.Live.from.Radio.City.Music.Hall,3.8273712641792845,1.1112267038672807,1.1415525114155252,6.657789613848203
Better.Call.Saul,2.4632440948004657,1.01959158056975,0.5047955577990914,6.164383561643835
Black.Mirror,2.5706892103794092,1.2683296384035156,0.5,10.9375
Bo.Burnham_.Inside,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318
Bo.Burnham_.Make.Happy,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008
Breaking.Bad,2.2914945022127173,1.0229465338661528,0.5101173269852066,6.6170388751033915
Chasing.Coral,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548
Constantine,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801
Dave.Chappelle_.Sticks.&.Stones,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735
Dave.Chappelle_.Sticks._.Stones,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735
David.Attenborough_.A.Life.on.Our.Planet,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561
Disclosure,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913
Disenchantment,2.8850574304946344,0.8396460963050217,0.5014130732063087,5.722070844686647
Dolittle,2.8411459487729602,1.0103110876284729,0.5739063894911364,6.393180607352158
Dracula.Untold,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397
Enola.Holmes,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284
FYRE_.The.Greatest.Party.That.Never.Happened,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154
Friends,2.432684914012419,0.9380009397783544,0.5046681806712087,8.561643835616437
Heroin(e),3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093
How.to.Be.Single,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942203
How.to.Get.Away.With.Murder,2.7789495908757518,1.259527652822375,0.5102040816326531,11.07011070110701
In.Time,2.1817857925317656,0.9454910082738187,0.5047955577990914,5.483207676490747
Inception,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701
Inside.Job,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351
Interstellar,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559
It_s.Complicated,2.5534044672116547,1.2299187840806922,0.5105948429920858,8.513931888544892
Jumanji_.Welcome.to.the.Jungle,3.016157318267156,1.1654453547987258,0.5212405525149857,6.960556844547564
Kill.Bill_.Vol..1,2.6019456073959777,1.0450383633067126,0.7861635220125786,6.784260515603799
Kiss.the.Ground,2.79560818204367,0.8693533696545789,0.8718395815170008,7.9908675799086755
Klaus,3.020931925480352,1.0618716666605532,0.6224496853171035,7.677543186180422
Knock.Down.The.House,3.177433527778789,0.9741330359763908,0.6438789507572577,5.99828620394173
Kung.Fu.Panda,2.0365501107660164,0.8887717325151913,0.5047955577990914,4.926108374384237
Kung.Fu.Panda.2,2.15909521340858,1.0604488785211243,0.5211047420531527,7.104795737122559
Kung.Fu.Panda.3,2.958068006751806,1.09919636176047,0.7490636704119851,7.6701821668264625
MINDHUNTER,3.3241772849701414,0.9145336597306732,0.639386189258312,5.994550408719347
Madagascar_.Escape.2.Africa,2.1428165483443258,0.9677827230783556,0.5370775309778647,17.471410419313848
Matilda,2.366782935229115,0.970391247054221,0.5511160099200881,5.535055350553506
Monty.Python.and.the.Holy.Grail,2.3109665049380435,1.0835645635936977,0.5448601525608427,8.191925102399063
Morning.Glory,3.362235475330574,1.2565018908423016,0.639386189258312,7.994186046511628
Narcos,2.8496240929777032,1.0052945633962902,0.639386189258312,7.052186177715093
Notting.Hill,2.9677860241580265,1.125350855405116,0.62266500622665,7.6701821668264625
Passengers,3.0137675222384464,1.1164200979461343,0.7155635062611807,6.925945657964838
Peaky.Blinders,2.7959000064760704,0.7537571366570275,0.7142857142857143,8.0
Penguins.of.Madagascar_.The.Movie,2.395318061203802,0.9687424027930517,0.5577244841048522,6.305170239596468
Prisoners,3.306699405981195,1.319730509919564,0.7155635062611807,9.090909090909092
Rick.and.Morty,3.1848016274959785,0.9047016395306025,0.7233646791360959,6.454587367450437
Seaspiracy,3.0825120302549136,0.7088913617083136,0.5812432793745822,5.770084332001775
Second.Act,3.2893521164881356,1.0029997971332794,0.8274720728175424,6.463527239150508
Sherlock,2.812037653527953,1.3255692148787597,0.5,10.576923076923077
Stranger.Things,3.1087506472663367,1.208721254206926,0.7377351530800443,8.302583025830257
The.Accountant,2.599439822200828,1.1077163104902201,0.5918910920390648,11.415525114155251
The.Boy.in.the.Striped.Pajamas,3.2278478003432283,0.9888290313346738,0.8058991820123302,5.770084332001775
The.Dark.Knight,2.857939267316757,0.9998465457454011,0.5524480353566743,6.242197253433209
The.Departed,2.752974841357045,1.1039530219927738,0.5047955577990914,6.16860863605209
The.Family.Man,3.181521074895427,1.1242363175914984,0.5628095452498875,6.741573033707866
