word,counts,word_level
sound,12,1.0
daughter,12,1.0
break,12,1.0
ago,12,1.0
hope,12,1.0
hold,11,1.0
end,11,1.0
mate,11,3.0
about,11,1.0
plan,11,1.0
quite,11,1.0
lie,11,1.0
today,11,1.0
ever,11,1.0
already,11,1.0
win,11,1.0
easy,11,1.0
very,11,1.0
round,10,1.0
open,10,1.0
piss,10,3.0
conjurer,10,6.0
feel,10,1.0
demand,10,2.0
pull,10,1.0
detail,10,1.0
sometime,10,3.0
least,10,1.0
face,10,1.0
life,10,1.0
singer,10,1.0
bad,10,1.0
politician,10,2.0
stupid,10,1.0
view,10,1.0
understand,10,1.0
light,10,1.0
baby,10,1.0
must,10,1.0
world,10,1.0
name,10,1.0
trust,9,2.0
shoot,9,2.0
whole,9,1.0
wife,9,1.0
story,9,1.0
change,9,1.0
rule,9,1.0
message,9,1.0
sleep,9,1.0
laugh,9,1.0
dead,9,1.0
few,9,1.0
down,9,1.0
over,9,1.0
worry,9,1.0
together,9,1.0
team,9,1.0
own,9,1.0
relationship,9,1.0
wed,8,2.0
cry,8,1.0
young,8,1.0
fun,8,1.0
important,8,1.0
forward,8,1.0
ash,8,3.0
ignore,8,2.0
image,8,1.0
seem,8,1.0
cut,8,1.0
car,8,1.0
job,8,1.0
pay,8,1.0
hour,8,1.0
tonight,8,1.0
bloody,8,3.0
eye,8,1.0
obvious,8,2.0
voice,8,1.0
throw,8,1.0
though,8,2.0
sex,8,2.0
election,8,2.0
buy,7,1.0
camera,7,1.0
drive,7,1.0
political,7,2.0
home,7,1.0
exactly,7,1.0
care,7,1.0
door,7,1.0
touch,7,1.0
free,7,1.0
enjoy,7,1.0
clearly,7,1.0
far,7,1.0
fair,7,1.0
die,7,1.0
hate,7,1.0
hat,7,1.0
spend,7,1.0
hard,7,1.0
suppose,7,1.0
dad,7,1.0
brilliant,7,1.0
safe,7,1.0
moment,7,1.0
scare,7,3.0
mum,7,3.0
bitch,7,3.0
around,7,1.0
wear,7,1.0
badly,7,1.0
question,7,1.0
beautiful,7,1.0
become,7,1.0
many,7,1.0
memory,7,1.0
almost,7,1.0
act,7,1.0
kid,7,1.0
line,7,1.0
up,7,1.0
wonder,7,2.0
less,7,1.0
opinion,7,1.0
upstairs,7,1.0
side,6,1.0
finger,6,1.0
gouge,6,5.0
top,6,1.0
grain,6,2.0
response,6,1.0
situation,6,1.0
build,6,1.0
fake,6,3.0
figure,6,1.0
mood,6,2.0
poll,6,2.0
pm,6,3.0
deadline,6,3.0
photo,6,1.0
press,6,2.0
pretend,6,2.0
woman,6,1.0
order,6,1.0
eat,6,1.0
alone,6,1.0
statement,6,1.0
appear,6,1.0
quick,6,1.0
stage,6,1.0
tit,6,5.0
hair,6,1.0
invite,6,1.0
bring,6,1.0
campaign,6,2.0
character,6,1.0
sexual,6,2.0
sentence,6,1.0
jump,6,1.0
blue,6,1.0
bore,6,2.0
tv,6,1.0
candidate,5,2.0
noise,5,1.0
appraisal,5,3.0
knock,5,1.0
idiot,5,3.0
app,5,1.0
state,5,1.0
numb,5,3.0
explain,5,1.0
late,5,1.0
answer,5,1.0
nasty,5,3.0
fact,5,1.0
imagine,5,1.0
waste,5,2.0
faithful,5,3.0
completely,5,1.0
family,5,1.0
boy,5,1.0
read,5,1.0
monogamist,5,6.0
cartoon,5,1.0
record,5,1.0
attention,5,1.0
push,5,1.0
once,5,1.0
office,5,1.0
contain,5,1.0
absolutely,5,2.0
dangerous,5,1.0
darling,5,3.0
serial,5,3.0
police,5,1.0
burn,5,1.0
horse,5,1.0
phone,5,1.0
personal,5,1.0
dick,5,5.0
perfect,5,1.0
wood,5,1.0
princess,5,2.0
dream,5,1.0
problem,5,1.0
cornflake,5,6.0
copy,5,1.0
service,5,1.0
broadcast,5,2.0
set,5,2.0
british,5,3.0
amaze,5,2.0
stream,5,2.0
straight,5,1.0
some,5,1.0
tomorrow,5,1.0
tiny,5,2.0
release,5,2.0
totally,5,2.0
upset,5,2.0
fodder,5,4.0
follow,5,1.0
grow,5,1.0
mad,5,2.0
resume,5,3.0
choice,5,1.0
return,5,1.0
bastard,5,3.0
cell,5,1.0
lose,5,1.0
sick,5,1.0
lock,5,1.0
channel,5,2.0
grab,5,2.0
sake,5,3.0
