Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun
gatepost,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gateway,NN,0.0,0.0,NN,N,N,N,N,B1,B2,1,True,False
gather,B1,3000.0,0.0,NN,N,N,N,N,A2,A2,2,True,False
gatherer,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
gatherers,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,False,False
gathering,C1,5000.0,0.0,NN,N,N,N,N,NN,NN,1,True,False
gator,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
gatsby,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,False,
gauche,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,False,False
gaucho,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gaudy,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True,False
gauge,NN,0.0,0.0,NN,N,N,N,Y,A4,A4,1,True,False
gaunt,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True,False
gauntlet,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
gauze,NN,0.0,0.0,NN,N,N,N,N,C1,C2,1,True,False
gavel,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,True,False
gawk,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
gawky,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
gawp,NN,0.0,0.0,NN,N,N,N,N,C3,C3,0,True,False
gay,B2,5000.0,0.0,NN,N,N,N,N,A3,NN,2,True,False
gayness,NN,0.0,0.0,NN,N,N,N,N,C4,C3,0,True,False
gaze,C1,5000.0,0.0,NN,N,N,N,N,A3,A3,2,True,False
gazebo,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False
gazelle,NN,0.0,9.0,science,N,N,N,N,C2,NN,0,True,False
gazette,NN,0.0,0.0,NN,N,N,N,N,C3,NN,1,True,False
gazetteer,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
gazillion,NN,0.0,0.0,NN,N,N,N,N,C3,C1,0,False,False
gazpacho,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False
gazump,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False
gcf,NN,0.0,5.0,math,N,N,N,N,NN,NN,0,False,
gean,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False
gear,C1,5000.0,3.0,science,N,N,N,N,A3,A3,2,True,False
gearbox,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False
gecko,NN,0.0,6.0,science,N,N,N,N,C3,C2,0,True,False
gee,NN,0.0,0.0,NN,N,Y,N,N,B3,B1,0,True,False
geek,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0,True,False
geeky,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False
geezer,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
geisha,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
gel,NN,0.0,5.0,science,N,N,N,N,B1,B2,0,True,False
gelada,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gelatin,NN,0.0,5.0,science,N,N,N,N,C2,NN,1,True,False
gelatinous,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,False,False
geld,NN,0.0,0.0,NN,N,N,N,N,C2,NN,0,True,False
gelignite,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False
gem,NN,0.0,0.0,NN,N,N,N,N,B2,B3,1,True,False
geminate,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False
gemination,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gemma,NN,0.0,0.0,NN,N,N,N,N,C5,C3,0,True,False
gemstone,NN,0.0,6.0,science,N,N,N,N,C2,C2,0,True,False
gen,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False
gendarme,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False
gendarmerie,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False
gender,B2,5000.0,6.0,general,N,N,N,N,A3,A3,1,True,False
gene,B2,5000.0,4.0,science,N,N,N,N,A2,A2,0,True,False
genealogical,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,False,False
genealogist,NN,0.0,0.0,NN,N,N,N,N,C4,C2,0,True,False
genealogy,NN,0.0,0.0,NN,N,Y,N,N,C1,C1,0,True,False
