title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max,WPS_mean_nlln,level_score,wps_score,final_score
13TH,0.6385733788747862,1.0,0.8547111060534253,0.7982125702171748,0.5478640552683013,0.4875866934827148,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735,0.5167590405651215,14.060397415141557,1.5502771216953644,15.610674536836921
About.Time,0.4065972909818637,0.2582558691409427,0.2531481732317916,0.2812028341229916,0.2988823143093108,0.148558798609556,2.182928247040382,1.0945440268044817,0.5034401745259272,6.08,0.0817379982335878,5.19312924865498,0.24521399470076338,5.438343243355743
Anne.with.an.E,0.0680608132663582,0.157898467706694,0.2165402321905298,0.5651310483335976,0.2112357222505277,0.4316119536525563,3.0983483187271137,0.9453407086079024,0.5920663114268798,6.849315068493151,0.5929113613256866,6.939852971753702,1.7787340839770596,8.718587055730762
Arthur.Christmas,0.4707959678258057,0.2850049338966545,0.3670861196068828,0.5961463025911057,0.5480315101494497,0.5207343621428588,2.156860271747184,0.925752334001934,0.5102040816326531,5.2631578947368425,0.0671815612362288,10.391213128408587,0.2015446837086864,10.592757812117274
Baby.Driver,0.3905496504236699,0.2251043136781856,0.2579355887648982,0.3004056421560361,0.2276016491619813,0.3243296628317312,2.833973976945636,1.2497040481625006,0.574052812858783,10.657193605683837,0.445283921657808,5.900173835499174,1.335851764973424,7.2360256004725985
Bad.Boys,0.3715511082826588,0.2965849546487262,0.239540035318829,0.2675636893402754,0.3597469824028331,0.3877985486533645,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092,0.2629476267886942,6.879122084832052,0.7888428803660826,7.667964965198135
Bee.Movie,0.5866534442413318,0.4976025826900253,0.5251709878933335,0.6712503198782445,0.4055098356530995,0.760708009657278,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239,0.3243771852709435,12.434170089023526,0.9731315558128305,13.407301644836357
Ben.Platt.Live.from.Radio.City.Music.Hall,0.2786892217392762,0.0511341360687927,0.0666385347629272,0.0,0.1247623109501792,0.1301710176320513,3.827371264179285,1.1112267038672807,1.1415525114155252,6.657789613848203,1.0,1.985710758708847,3.0,4.985710758708847
Better.Call.Saul,0.0322608454628472,0.1597064309154464,0.2238828454345575,0.3282593080583513,0.3319724862934458,0.422921083186327,2.4632440948004657,1.01959158056975,0.5047955577990914,6.164383561643835,0.2382672235142963,6.5337484064160085,0.7148016705428889,7.248550076958898
Black.Mirror,0.0871016744236504,0.2342544864378339,0.2806791458704938,0.290720403691273,0.3807018972283348,0.2964005250144002,2.570689210379409,1.2683296384035156,0.5,10.9375,0.2982649041169377,6.2424423359039665,0.8947947123508131,7.13723704825478
Bo.Burnham_.Inside,0.2628217057997792,0.1353755985200196,0.011675901257353,0.0183919591023934,0.0870570838925644,0.1124582755227388,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318,0.4059150853303647,1.7522035156207056,1.217745255991094,2.9699487716118
Bo.Burnham_.Make.Happy,0.570741091263353,0.247542562061553,0.2498036498876829,0.2606818906022985,0.4050855794304695,0.4659435994965649,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008,0.7670027357315442,7.679054221590439,2.3010082071946325,9.980062428785072
Breaking.Bad,0.0801716611090128,0.1402240211498334,0.1468708441562984,0.2174683181896213,0.1789146478980271,0.3375802491102551,2.2914945022127173,1.0229465338661528,0.5101173269852066,6.617038875103392,0.1423617266083673,4.591160242787726,0.42708517982510186,5.018245422612829
Chasing.Coral,0.6294813986803639,0.5040935196069853,0.418681210711887,0.3678315115985843,0.3522977832821233,0.3503813780284835,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548,0.6089136098789016,8.228815301005852,1.826740829636705,10.055556130642557
Constantine,0.2387139450659077,0.1407917518324242,0.1725483280673713,0.1554884499225443,0.226875997936742,0.1886673851582537,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801,0.0958944891050231,3.92628053325628,0.28768346731506933,4.213964000571349
Dave.Chappelle_.Sticks.&.Stones,0.6506692655519645,0.4131442038273178,0.3078823156090591,0.3570648744762489,0.3773806169284862,0.4291422728421802,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,0.7529603102074788,8.290620839634286,2.2588809306224364,10.549501770256722
Dave.Chappelle_.Sticks._.Stones,0.6846201969976871,0.422986499157071,0.3078823156090591,0.3570648744762489,0.3528180346277531,0.4030726980440566,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735,0.7529603102074788,8.065026001447107,2.2588809306224364,10.323906932069544
David.Attenborough_.A.Life.on.Our.Planet,0.5700534587849185,0.7417072157607797,0.6388893598347706,0.5943183463029788,0.2565274541806157,0.3598295841919905,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561,0.1296321111379528,9.789024131077726,0.38889633341385843,10.177920464491585
Disclosure,0.5160333845291865,0.5348146672308681,0.5097368319933793,0.5865987271837751,0.6179168325337235,0.927500105785474,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913,0.6349686514833471,14.115852921087622,1.9049059544500415,16.020758875537663
Disenchantment,0.1836378457402167,0.3261141179417214,0.4810345654064846,0.7790979723726178,0.5380461319281984,0.7519211267244607,2.8850574304946344,0.8396460963050217,0.5014130732063087,5.722070844686647,0.4738090780932424,12.597119087321342,1.4214272342797272,14.01854632160107
Dolittle,0.4822723538408556,0.4359856021197361,0.3664625245452375,0.5285820298979976,0.3458437265911769,0.398337261297774,2.84114594877296,1.0103110876284729,0.5739063894911364,6.393180607352158,0.4492887726244466,8.687201452050559,1.3478663178733399,10.035067769923899
Dracula.Untold,0.2731856060803408,0.1462929378502465,0.2171188769841517,0.2578603094680989,0.1166493683392752,0.0,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397,0.1423463160902012,2.831816192302061,0.4270389482706036,3.2588551405726642
Enola.Holmes,0.3690179584268535,0.3552997563131827,0.2763116969993035,0.3226104336282401,0.2858343344854328,0.2652969918040876,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284,0.6851275479585942,6.219947919815779,2.0553826438757827,8.275330563691561
FYRE_.The.Greatest.Party.That.Never.Happened,0.712904635095511,0.7612182826211401,0.6036908124742415,0.6691326675004027,0.5519479991283228,0.5622807692137773,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154,0.7111676813111356,12.856368918686403,2.133503043933407,14.98987196261981
Friends,0.0996383928904361,0.0214372799463781,0.0789707167375993,0.1929402796305762,0.2646760511780716,0.1750982418148761,2.432684914012419,0.9380009397783544,0.5046681806712087,8.561643835616437,0.2212028836555665,3.5251559282979095,0.6636086509666995,4.188764579264609
Heroin(e),1.0,0.7434607513688998,0.3837269103443507,0.2828167416474478,0.2008475942932223,0.2815389633853215,3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093,0.802555494342954,7.4628409521386825,2.407666483028862,9.870507435167545
How.to.Be.Single,0.4680353371444772,0.2643619690782552,0.2825396730613697,0.2223393726655993,0.4964768993683503,0.3057640085515763,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942205,0.5514244994227278,7.050704333298704,1.6542734982681833,8.704977831566888
How.to.Get.Away.With.Murder,0.0158519038767119,0.1267434947466778,0.1162694731566002,0.1560075298615576,0.1725479737777969,0.1276491991856485,2.778949590875752,1.259527652822375,0.5102040816326531,11.07011070110701,0.4145581364698186,2.870812496288974,1.2436744094094558,4.1144869056984295
In.Time,0.2472296729910014,0.1829451170789044,0.058958661407493,0.0629208928428722,0.0,0.059364403308904,2.1817857925317656,0.9454910082738188,0.5047955577990914,5.483207676490747,0.0811000481477075,1.3978658825962023,0.24330014444312253,1.6411660270393247
Inception,0.2131250140180201,0.1927180544074112,0.1201719508633533,0.1037288492909305,0.0531045932029032,0.1179305110464988,2.749064082579055,1.2745271365929356,0.5575689991636464,7.299270072992701,0.3978699773871899,2.347098404880133,1.1936099321615696,3.5407083370417025
Inside.Job,0.5670586831424779,0.9559288396901172,0.6976921573360253,0.4350600397873638,0.2800051832330454,0.289341570716471,2.383672559998768,0.6109041394912393,0.5268703898840885,4.388926401080351,0.1938342355243812,9.448308334144297,0.5815027065731436,10.02981104071744
Interstellar,0.2403856461162989,0.33026117071634,0.2805067693262381,0.3361067264682773,0.2871574928325283,0.4471049609898865,2.786998372112919,0.9016485980123852,0.5735753821445984,7.104795737122559,0.4190526004880852,7.205272431502763,1.2571578014642555,8.46243023296702
It_s.Complicated,0.3942940590280861,0.1717758709423882,0.1996374568465213,0.2504043059789967,0.2368662209188095,0.1832047564209244,2.5534044672116547,1.2299187840806922,0.5105948429920858,8.513931888544892,0.2886130507563664,4.621935038488007,0.8658391522690991,5.487774190757106
Jumanji_.Welcome.to.the.Jungle,0.3763753656033054,0.2037024979610104,0.2345636289271369,0.2975389158743052,0.2757391502055264,0.3618963403651961,3.016157318267156,1.1654453547987258,0.5212405525149857,6.960556844547564,0.5470156557141556,6.227700705022767,1.6410469671424668,7.868747672165234
Kill.Bill_.Vol..1,0.1983783333312277,0.100977558438533,0.1118713567238317,0.1317285149247171,0.2805887334980801,0.1915404281009249,2.6019456073959777,1.0450383633067126,0.7861635220125786,6.784260515603799,0.3157185716464924,3.815047816174607,0.9471557149394773,4.762203531114084
Kiss.the.Ground,0.6036429506541563,0.6679902233528743,0.5992934773066536,0.6121590121685124,0.4108569620151888,0.6182803585250818,2.79560818204367,0.8693533696545789,0.8718395815170008,7.9908675799086755,0.4238603446418445,11.950106839180348,1.2715810339255336,13.221687873105882
Klaus,0.4595044658474738,0.2173718202185902,0.2031730928023583,0.3519945226170313,0.3391551808337013,0.3552595605789931,3.020931925480352,1.0618716666605532,0.6224496853171035,7.677543186180422,0.5496818109603653,6.739078742802319,1.649045432881096,8.388124175683416
Knock.Down.The.House,0.5668819362767571,0.5557823032242669,0.3122065341860385,0.3256184582893851,0.1977376929951075,0.2275110091900731,3.177433527778789,0.9741330359763908,0.6438789507572577,5.99828620394173,0.6370727835318853,6.271294498556923,1.911218350595656,8.182512849152578
Kung.Fu.Panda,0.3454247948232493,0.2022684018615929,0.1639254702700588,0.1507929573483004,0.0420305302290757,0.2046431917826092,2.0365501107660164,0.8887717325151913,0.5047955577990914,4.926108374384237,0.0,3.2829216405908466,0.0,3.2829216405908466
Kung.Fu.Panda.2,0.3956800953772998,0.2039953675589433,0.1522132093686881,0.2594250562724562,0.200792310948221,0.231342497386351,2.15909521340858,1.0604488785211243,0.5211047420531527,7.104795737122559,0.0684295594839244,4.690027222750286,0.2052886784517732,4.89531590120206
Kung.Fu.Panda.3,0.3922991777131075,0.1398026494168141,0.1825020506974058,0.1532995160888418,0.2364038127278081,0.2891047172829207,2.958068006751806,1.09919636176047,0.7490636704119851,7.6701821668264625,0.514578406799247,4.749256060330886,1.5437352203977412,6.292991280728627
MINDHUNTER,0.0572608999617288,0.2441849407165394,0.3560895697697302,0.4514623126170936,0.4170146434869736,0.580910565639821,3.3241772849701414,0.9145336597306732,0.639386189258312,5.994550408719347,0.7190149456018732,8.990285352446167,2.1570448368056194,11.147330189251786
Madagascar_.Escape.2.Africa,0.5267045252905985,0.4312914680296755,0.3350634660369451,0.4649543691066769,0.3230471536273841,0.5589669311327343,2.1428165483443258,0.9677827230783556,0.5370775309778647,17.471410419313848,0.0593395032082169,9.223332690820818,0.17801850962465068,9.401351200445468
Matilda,0.5285680994224943,0.2790201381671468,0.2641684683925256,0.3520092713338326,0.3989195005440289,0.6748469604320819,2.366782935229115,0.970391247054221,0.5511160099200881,5.535055350553506,0.184403017483729,9.330830131582331,0.553209052451187,9.884039184033519
Monty.Python.and.the.Holy.Grail,0.4485541185215366,0.4309757415337444,0.322803315005928,0.8759759977648531,0.2274042310693926,0.5551251947804257,2.3109665049380435,1.0835645635936977,0.5448601525608427,8.191925102399063,0.1532349523842707,10.250591861695739,0.4597048571528121,10.71029671884855
Morning.Glory,0.5583347746923318,0.5357041648124317,0.4601886848836253,0.5445403111816631,0.4815334337823919,0.8338203752129498,3.362235475330574,1.2565018908423016,0.639386189258312,7.994186046511628,0.7402667553026322,12.599059823884382,2.2208002659078967,14.819860089792279
Narcos,0.0128787752051321,0.1516786659537651,0.1744528806649919,0.1873889159317537,0.1712528902710033,0.1653123367611781,2.8496240929777032,1.0052945633962902,0.639386189258312,7.052186177715093,0.4540229942347868,3.4372888847567378,1.3620689827043604,4.799357867461098
Notting.Hill,0.426760575127474,0.2967772649858914,0.3039730070938453,0.2668237780459475,0.3226277476315319,0.275810863594352,2.9677860241580265,1.125350855405116,0.62266500622665,7.6701821668264625,0.5200049773910105,6.267533158288355,1.5600149321730314,7.827548090461386
Passengers,0.3486911363231399,0.1772481030461347,0.1535977662665636,0.0713977837139999,0.1998325818766592,0.2702305324079,3.0137675222384464,1.1164200979461345,0.7155635062611807,6.925945657964838,0.5456811863149336,4.070117879901796,1.6370435589448007,5.7071614388465965
Peaky.Blinders,0.0596323525720337,0.1231826809507577,0.1620162333189031,0.2007895612393248,0.1350224071507972,0.145563457351628,2.7959000064760704,0.7537571366570275,0.7142857142857143,8.0,0.4240233002959277,3.1436974392513117,1.2720699008877832,4.415767340139094
Penguins.of.Madagascar_.The.Movie,0.4719832432294226,0.4049374480654977,0.4353461168997373,0.5918640371676585,0.3521051991753895,0.6847087369592734,2.395318061203802,0.9687424027930516,0.5577244841048522,6.305170239596468,0.2003371189546098,10.824131056362852,0.6010113568638293,11.42514241322668
Prisoners,0.1844102521456975,0.0521661060136349,0.0544107668044437,0.062328346388489,0.0836608746927998,0.1003870128054279,3.306699405981195,1.319730509919564,0.7155635062611807,9.090909090909092,0.7092552446090442,1.7219146004368209,2.1277657338271325,3.8496803342639536
Rick.and.Morty,0.2515227566586103,0.4184920244938967,0.5233402537157125,0.7437630151825382,0.5807410493525317,0.614418220433979,3.1848016274959785,0.9047016395306025,0.7233646791360959,6.454587367450437,0.6411871529110643,12.223794196890227,1.923561458733193,14.14735565562342
Seaspiracy,0.7958832327033682,0.9280976274322884,0.8709656632958611,0.6657608093233237,0.5337858604633935,0.504130032336827,3.0825120302549136,0.7088913617083136,0.5812432793745822,5.770084332001775,0.5840683294896953,13.621728211086754,1.752204988469086,15.37393319955584
Second.Act,0.5822399773739222,0.4663962753256749,0.3642850908319671,0.3062940845630462,0.4302958153273253,0.4156361368604078,3.289352116488136,1.0029997971332794,0.8274720728175424,6.463527239150508,0.6995684651894494,8.478360036572433,2.098705395568348,10.577065432140781
Sherlock,0.1734408450815953,0.263897284357632,0.2769901101194849,0.3290869733769356,0.2697413354933514,0.3336442752077247,2.812037653527953,1.3255692148787597,0.5,10.576923076923077,0.4330346116829552,6.199125966376162,1.2991038350488657,7.498229801425028
Stranger.Things,0.0,0.0,0.0369449878183316,0.0710323567239083,0.1417814900408798,0.1359794742825071,3.1087506472663367,1.208721254206926,0.7377351530800443,8.302583025830257,0.5987200533435334,1.9197486862500697,1.7961601600306003,3.71590884628067
The.Accountant,0.4425864858591183,0.4533539553863478,0.3891425395459521,0.3815138249459618,0.3259314771093401,0.3921103937596963,2.599439822200828,1.10771631049022,0.5918910920390648,11.415525114155251,0.3143193335425793,8.025097063158396,0.9429580006277378,8.968055063786135
The.Boy.in.the.Striped.Pajamas,0.280834723136613,0.1044245521491349,0.039173046995661,0.1010357200562838,0.0216825159067742,0.0786655864218647,3.2278478003432283,0.9888290313346738,0.8058991820123302,5.770084332001775,0.6652242672623242,1.5917519467120602,1.9956728017869727,3.587424748499033
The.Dark.Knight,0.3441497427695921,0.4240795209122636,0.3549712457136759,0.3765128957082103,0.3736021529632626,0.3139781367877908,2.857939267316757,0.9998465457454012,0.5524480353566743,6.242197253433209,0.4586662129745283,7.515153690111045,1.375998638923585,8.89115232903463
The.Departed,0.3218930309721768,0.3058713896021836,0.2805114457982932,0.3414101595106805,0.2721844773724393,0.33584431377644,2.752974841357045,1.1039530219927738,0.5047955577990914,6.16860863605209,0.4000537570295825,6.516799055134982,1.2001612710887475,7.716960326223729
The.Family.Man,0.3876321027976581,0.2637943006221759,0.2047038208676039,0.3211396095484207,0.2248844376469141,0.144245015268083,3.181521074895427,1.1242363175914984,0.5628095452498875,6.741573033707866,0.6393552823223687,4.803782884681572,1.9180658469671061,6.721848731648679
The.Good.Doctor,0.0512708892271566,0.2080498969710554,0.2877029167429543,0.3900052098891642,0.4778705672080889,0.6907297286772526,2.908974338651761,1.2592774062320549,0.5212405525149857,7.993605115907274,0.4871643526339421,9.424231481058747,1.4614930579018264,10.885724538960574
The.Intern,0.4939063577964285,0.3168530183857554,0.3010190105523374,0.2944563354942895,0.3838560410901525,0.4277364465160996,3.619497217927925,1.3750000670779758,0.8059641345960105,9.225092250922508,0.8839224978691165,7.694193652749469,2.651767493607349,10.345961146356817
The.Judge,0.2938999449697272,0.2950190717150193,0.2538159197279861,0.3207977214734572,0.2372695600321925,0.3049832022839339,2.512169678628489,1.1252548632576154,0.5268703898840885,6.476683937823834,0.2655874189088907,5.944823747342118,0.7967622567266721,6.7415860040687905
The.Revenant,0.1163182821423068,0.0145684683367693,0.0,0.0330682775408887,0.1082369421758398,0.0435441914399847,2.7593453445301184,0.9595181088663502,0.685048809727693,6.849315068493151,0.4036110654525545,1.0801781884985076,1.2108331963576635,2.291011384856171
The.Social.Dilemma,0.6648254513380261,0.8022258701544661,0.6698142091632215,0.4251873726813344,0.5508400164838729,0.524667542746479,3.225596290005984,0.8280224750015507,0.6284139797940735,5.9940059940059935,0.6639670170154456,11.8816746487602,1.9919010510463369,13.873575699806537
The.Truman.Show,0.3766554286023144,0.1966127243977266,0.1259372244912979,0.2098899516065945,0.1501763221248777,0.0830683638869312,2.5428206604132817,1.1513250760758196,0.6309148264984227,7.534246575342466,0.2827030207245005,3.236544151244015,0.8481090621735015,4.084653213417516
There.Will.Be.Blood,0.1745246562472496,0.0787431502084515,0.0707102535252021,0.0512948648143739,0.0604161245810434,0.1674091630427694,2.341123374057742,1.0154959884577597,0.5641748942172073,6.594724220623501,0.1700746401790124,2.0558567776590877,0.5102239205370371,2.566080698196125
Three.Identical.Strangers,0.5638568491138379,0.3864764439233589,0.3569876279484056,0.2476676694811892,0.2763834139684433,0.2880399793534662,3.051840629585544,1.0335575527587186,0.7365939893930465,7.733952049497295,0.5669413257065925,6.508600244693543,1.7008239771197775,8.20942422181332
Virunga,0.3795052404102436,0.4126353878429235,0.1639696755792781,0.1741898743677582,0.1230361665453853,0.0886583441480194,2.318064716973834,0.8827641682420921,0.625,6.8181818181818175,0.1571986156581056,3.5405754379200007,0.47159584697431683,4.012171284894317
What.the.Health,0.7869117734663533,0.9474900476994772,1.0,1.0,1.0,1.0,3.1002636671252484,0.8510337473243085,0.7990411506192568,7.084468664850137,0.5939808977193595,20.681891868865307,1.7819426931580784,22.463834562023386
Zodiac,0.365928721420088,0.2887294127767451,0.2836203929466794,0.445057360125274,0.3548676865875013,0.4186454575025699,3.030727994432257,0.9701730664126664,0.5381165919282511,7.3778051029818625,0.5551519657735547,7.860689344267638,1.6654558973206641,9.526145241588303
