Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level
a,NN,0.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
aback,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,False,False,5.0
abacus,NN,0.0,0.0,NN,N,N,N,N,C3,C3,1,True,False,4.0
abalone,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
abandon,B2,3000.0,0.0,NN,N,N,N,N,A2,A3,2,True,False,2.0
abandonment,NN,0.0,0.0,NN,N,N,N,N,B3,C1,0,True,False,5.0
abase,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abash,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abate,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
abatement,NN,0.0,0.0,NN,N,N,N,N,C1,C3,0,True,False,5.0
abattoir,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
abaya,NN,0.0,0.0,NN,N,N,N,N,C5,C2,0,True,False,6.0
abbacy,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abbess,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
abbey,NN,0.0,0.0,NN,N,N,N,N,B3,C1,1,True,False,4.0
abbot,NN,0.0,9.0,social_studies,N,N,N,N,C1,C3,1,True,False,4.0
abbreviate,NN,0.0,9.0,general,N,Y,N,N,B3,C1,1,True,False,3.0
abbreviation,NN,0.0,6.0,general,N,Y,N,N,B3,C1,1,True,False,3.0
abdicate,NN,0.0,9.0,social_studies,N,N,N,N,C1,C1,0,True,False,5.0
abdication,NN,0.0,0.0,NN,N,N,N,N,C2,C2,0,True,False,6.0
abdomen,NN,0.0,6.0,science,N,Y,N,N,B3,B3,1,True,False,3.0
abdominal,NN,0.0,9.0,science,N,N,N,N,A4,A4,1,True,False,3.0
abduct,NN,0.0,0.0,NN,N,N,N,N,B3,B2,0,True,False,5.0
abduction,NN,0.0,0.0,NN,N,N,N,N,C1,B3,0,True,False,5.0
abductor,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
abed,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
abelian,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
aberrant,NN,0.0,0.0,NN,N,N,N,N,C1,C2,0,True,False,5.0
aberration,NN,0.0,9.0,science,N,N,N,N,C1,C1,0,True,False,5.0
abet,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,True,False,5.0
abettor,NN,0.0,0.0,NN,N,N,N,N,C5,NN,0,True,False,6.0
abeyance,NN,0.0,0.0,NN,N,N,N,N,C3,C2,0,True,False,6.0
abhor,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,True,False,4.0
abhorrence,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
abhorrent,NN,0.0,0.0,NN,N,N,N,N,C2,C1,0,False,False,6.0
abide,NN,0.0,0.0,NN,N,N,Y,N,B2,B1,1,True,False,3.0
abigail,NN,0.0,0.0,NN,N,Y,N,N,NN,NN,0,True,False,3.0
ability,A2,3000.0,4.0,general,N,N,N,N,A1,A1,2,True,False,1.0
abiotic,NN,0.0,4.0,science,N,N,N,N,C4,NN,0,False,False,5.0
abject,NN,0.0,0.0,NN,N,N,N,N,C1,C1,1,False,False,4.0
abjectly,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,False,False,6.0
abjure,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
ablate,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
ablation,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
ablative,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
ablaze,NN,0.0,0.0,NN,N,N,N,N,C1,C1,0,False,False,5.0
able,A2,3000.0,0.0,NN,Y,N,N,N,A1,A1,2,True,False,1.0
ablution,NN,0.0,0.0,NN,N,N,N,N,C3,NN,0,True,False,6.0
ably,NN,0.0,9.0,general,N,N,N,N,C2,C3,0,False,False,4.0
abnormal,NN,0.0,6.0,science,N,Y,N,N,B2,B2,1,True,False,3.0
abnormality,NN,0.0,0.0,NN,N,N,N,N,B2,C1,0,True,False,4.0
abnormally,NN,0.0,9.0,science,N,N,N,N,C1,C2,0,False,False,5.0
aboard,NN,0.0,0.0,NN,N,N,Y,N,B1,B1,1,False,False,3.0
abode,NN,0.0,6.0,social_studies,N,N,N,N,C1,C2,1,True,False,3.0
abolish,C1,5000.0,4.0,social_studies,N,N,N,Y,B1,B1,1,True,False,3.0
abolition,NN,0.0,5.0,social_studies,N,N,N,N,B2,B2,1,True,False,3.0
abolitionism,NN,0.0,9.0,social_studies,N,N,N,N,C4,NN,1,True,False,4.0
abolitionist,NN,0.0,4.0,social_studies,N,Y,N,N,C1,C1,0,True,False,3.0
abomasum,NN,0.0,0.0,NN,N,N,N,N,C4,NN,0,True,False,6.0
abominable,NN,0.0,0.0,NN,N,N,N,N,C2,C2,1,False,False,4.0
