title,level_1,level_2,level_3,level_4,level_5,level_6,WPS_mean,WPS_std,WPS_min,WPS_max
13TH,0.6897856527853174,0.982960103243356,0.876020677119631,0.9290573687166214,0.4944076608225647,0.45240690901559744,2.9619731318275813,0.7939549853728156,1.0655301012253595,5.9970014992503735
About.Time,0.38771709432576484,0.321979331534006,0.20605242419699377,0.483382831864702,0.22170075807414832,0.14855879860955606,2.182928247040382,1.0945440268044817,0.5034401745259272,6.08
Anne.with.an.E,0.07261610034223363,0.23138382411892444,0.17771005053165,0.6675986718391511,0.1859557869699574,0.4168706403032876,3.0983483187271137,0.9453407086079024,0.5920663114268798,6.849315068493151
Arthur.Christmas,0.4668189105059162,0.38690657284223573,0.30572591928485215,0.5902914969025033,0.4886783701725856,0.4833447330983986,2.156860271747184,0.925752334001934,0.5102040816326531,5.2631578947368425
Baby.Driver,0.3750697762106931,0.24659243170824244,0.2847117491091351,0.37333265257196524,0.22233096469792382,0.3243296628317312,2.833973976945636,1.2497040481625006,0.574052812858783,10.657193605683837
Bad.Boys,0.3666025539975485,0.320095796425149,0.22535866189338413,0.30808309561309527,0.33406374944270906,0.38779854865336455,2.5074422830590275,1.155208751212932,0.5386479935362241,7.052186177715092
Bee.Movie,0.5762116712737635,0.5722387319969808,0.5259773664804994,0.7954797589132341,0.3374196737037061,0.760708009657278,2.617451635833877,1.1438767491268855,0.5155968032998195,6.216696269982239
Ben.Platt.Live.from.Radio.City.Music.Hall,0.26704769385593125,0.04888480118340526,0.04062862243171856,0.1533277320249456,0.11694591820091987,0.10888588123753926,3.827371264179285,1.1112267038672807,1.1415525114155252,6.657789613848203
Better.Call.Saul,0.04346447347911347,0.19379734695631345,0.23025664767199192,0.3613769890216014,0.31346411890448456,0.41915660223746215,2.4632440948004657,1.01959158056975,0.5047955577990914,6.164383561643835
Black.Mirror,0.10195813976165505,0.26897997912305005,0.2559545611450896,0.39007388465312404,0.36925527099333505,0.291451839741776,2.570689210379409,1.2683296384035156,0.5,10.9375
Bo.Burnham_.Inside,0.25584394176063546,0.11902097209681,0.0,0.022896509494203614,0.10544935691987915,0.11245827552273886,2.7634714320651854,0.9688972667240624,0.6775354647469829,5.289139633286318
Bo.Burnham_.Make.Happy,0.5579748017029864,0.2783863664993189,0.1944270089603888,0.25984261715063856,0.4464867114435423,0.46594359949656494,3.410114834639913,1.2341549702143548,0.7733952049497294,7.380073800738008
Breaking.Bad,0.08438023192127164,0.17323105841777994,0.15213147976622163,0.19168721692181726,0.19085183086752128,0.33758024911025514,2.2914945022127173,1.0229465338661528,0.5101173269852066,6.617038875103392
Chasing.Coral,0.6275638101536533,0.5443145244079411,0.4394897600630557,0.2874949032487166,0.2910957033415964,0.3503813780284835,3.127005483938388,0.8186911491612229,0.7784524365561264,7.194244604316548
Constantine,0.23792604123381156,0.16218726041198908,0.15178753687608323,0.2850411606961383,0.16092643575750734,0.18866738515825374,2.20827999035105,0.8923974921977383,0.5047955577990914,5.275779376498801
Dave.Chappelle_.Sticks.&.Stones,0.6229163485837608,0.5039179133716324,0.24251569982974633,0.3952640101328281,0.35479452410828055,0.42914227284218026,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735
Dave.Chappelle_.Sticks._.Stones,0.6542932000629483,0.518242712994643,0.24251569982974633,0.3770780485302289,0.3373719282470844,0.40307269804405665,3.384967361966186,1.0099658181888416,0.9990009990009991,6.1349693251533735
David.Attenborough_.A.Life.on.Our.Planet,0.5878334060119571,0.8417130550659768,0.6290533223831875,0.5060465058694976,0.2413551460769759,0.35982958419199057,2.268698037553482,0.5363886491387484,0.982511298879937,5.326231691078561
Disclosure,0.5173588574964721,0.6047317697853345,0.4765507746865102,0.7212246108783356,0.5040599115629609,0.9275001057854741,3.173665403596692,0.9110191436450372,0.9049773755656108,6.45557946510913
Disenchantment,0.18291081762265943,0.42411117747080124,0.45007408666689414,1.0,0.5182435469168511,0.739146429946259,2.8850574304946344,0.8396460963050217,0.5014130732063087,5.722070844686647
Dolittle,0.47762085396720877,0.5137826856382876,0.3165022726499656,0.5869815268212981,0.2941485349255777,0.398337261297774,2.84114594877296,1.0103110876284729,0.5739063894911364,6.393180607352158
Dracula.Untold,0.25930433475956255,0.24316756939164552,0.15889281589467116,0.40369670380907086,0.06933807764493964,0.0,2.2914669047308003,0.79174095879467,0.6851661527920521,4.72212132219397
Enola.Holmes,0.371515802314649,0.3816937385738727,0.2501018226826437,0.40346406532290424,0.24162397130532381,0.2652969918040876,3.2634910164364306,0.951268039377534,0.5106303964348714,6.191950464396284
FYRE_.The.Greatest.Party.That.Never.Happened,0.7284978577228918,0.7741990381268982,0.5910271284758642,0.6523476105162288,0.5691156221388688,0.5622807692137773,3.310124238081864,0.8412422744135732,0.9789525208027408,6.711409395973154
Friends,0.09572963265008932,0.05200907346574319,0.0835354009429524,0.19514390984779229,0.21734983525348722,0.17509824181487615,2.432684914012419,0.9380009397783544,0.5046681806712087,8.561643835616437
Heroin(e),1.0,0.6713820275776259,0.3445569090186539,0.30276321568532144,0.29600821209447364,0.28153896338532153,3.4737834668234213,1.1220021475078503,0.5577244841048522,7.052186177715093
How.to.Be.Single,0.44239321453325026,0.3548174731597836,0.26402626947137064,0.26521051313456,0.3961871445058519,0.30576400855157637,3.02405276884256,1.3474425586972538,0.6069802731411229,10.905125408942205
How.to.Get.Away.With.Murder,0.031011978670747745,0.12347993578533967,0.11919861843528372,0.19255833625437557,0.16243201107400748,0.12764919918564854,2.778949590875752,1.259527652822375,0.5102040816326531,11.07011070110701
