Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
perpetuity,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
schoolyard,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
weightlift,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,,12,NN,NN
plasticine,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
perpetually,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
shambles,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
unleaded,NN,0,0,NN,N,N,N,N,C2,C1,0.0,False,False,12,NN,NN
schoolmate,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
unlawfully,NN,0,0,NN,N,N,N,N,C2,C1,0.0,False,False,12,NN,NN
peroxide,NN,0,6,science,N,N,N,N,C1,C1,0.0,True,False,12,NN,science
shamelessly,NN,0,0,NN,N,N,N,N,C2,C2,0.0,False,False,12,NN,NN
plasticity,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
shamrock,NN,0,0,NN,N,N,N,N,C3,C1,0.0,True,False,12,NN,NN
shandy,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
pernicious,NN,0,0,NN,N,N,N,N,C1,C1,0.0,False,False,12,NN,NN
polythene,NN,0,0,NN,N,N,N,N,C1,C2,0.0,True,False,12,NN,NN
smooch,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
saboteur,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
smoothie,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
pragmatist,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
spud,NN,0,0,NN,N,N,N,N,C2,C1,0.0,True,False,12,NN,NN
reverberation,NN,0,6,science,N,N,N,N,C1,C2,0.0,True,False,12,NN,science
reverberate,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,12,NN,NN
sputnik,NN,0,0,NN,N,N,N,N,C4,C2,0.0,True,False,12,NN,NN
sputum,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
outflank,NN,0,0,NN,N,N,N,N,C2,C2,0.0,True,False,12,NN,NN
spyware,NN,0,0,NN,N,N,N,N,C3,C2,0.0,True,False,12,NN,NN
