num,start,end,script
79,00:04:02.666,00:04:05.416,"['Well,', 'yeah.', 'Where', 'else', 'would', 'I--']"
80,00:04:05.500,00:04:09.291,"['Congratulations.', 'You', 'are', 'now', 'a', 'postman.']"
82,00:04:11.000,00:04:15.125,"['You', 'are', 'to', 'establish', 'a', 'working', 'postal', 'office', 'in...']"
83,00:04:25.333,00:04:27.083,['Smeerensburg.']
84,00:04:27.875,00:04:28.916,"[""You've"", 'got', 'one', 'year.']"
85,00:04:29.000,00:04:31.166,"['What?', 'A', 'year?', 'Where?', 'Smeerensburg?']"
86,00:04:31.250,00:04:32.875,"['What', 'is...', ""What's"", 'happening', 'right', 'now?', 'Dad?']"
87,00:04:32.958,00:04:34.791,"['Six', 'thousand', 'letters', 'will', 'suffice.']"
88,00:04:34.875,00:04:36.416,"['Stamped', 'by', 'your', 'own', 'hand.']"
89,00:04:36.500,00:04:38.125,"['And', 'listen', 'carefully,', 'Jesper.']"
90,00:04:38.208,00:04:41.416,"['If', 'you', 'fail', 'to', 'get', 'those', 'letters,', ""you're"", 'cut', 'off.']"
91,00:04:41.958,00:04:43.666,"['No', 'more', 'fancy', 'apartments,']"
93,00:04:45.791,00:04:47.000,"['All', 'gone.']"
94,00:04:47.083,00:04:49.875,"['You', 'can', 'look', 'forward', 'to', 'a', 'cozy', 'spot', 'in', 'the', 'gutter.']"
95,00:04:49.958,00:04:52.583,"['-But--', '-Six', 'thousand', 'letters,', 'one', 'year.']"
96,00:04:52.666,00:04:55.625,"['You', ""can't"", 'cheat,', 'bribe', 'or', 'squirm', 'your', 'way', 'out', 'of', 'this', 'one.']"
97,00:04:57.125,00:05:01.333,"['Dad!', 'Come', 'on!', ""It's"", 'me.', ""Let's"", 'talk', 'about', 'this,', 'man.']"
98,00:05:01.416,00:05:04.458,"[""It's"", 'your', 'son,', 'Jesper!', 'Little', 'Jespie!']"
99,00:05:04.541,00:05:07.583,"['Remember,', 'I...', '""Daddy,', 'can', 'I', 'help', 'you', 'mail', 'the', 'letters?']"
100,00:05:07.666,00:05:10.208,"['Can', 'I', 'help', 'you', 'put', 'the', 'medals', 'in', 'the', 'letters']"
101,00:05:10.291,00:05:12.083,"['and', 'put', 'them', 'in', 'a', 'stamp', 'with', 'the--""']"
102,00:05:12.166,00:05:13.583,['W-w-wait!']
103,00:05:13.666,00:05:15.916,"['Do', 'you', 'know', 'how', 'long', 'it', 'took', 'to', 'press', 'this', 'uniform?']"
104,00:05:16.500,00:05:18.958,"['I', ""don't"", 'either,', 'but', 'it', 'took', 'somebody', 'hours.']"
105,00:05:19.041,00:05:20.041,['Hello?']
106,00:05:20.541,00:05:23.500,"['Burghard!', 'Finally,', 'a', 'friendly', 'face.', 'Can', 'you', 'believe', 'what', 'they...']"
107,00:05:24.083,00:05:27.041,"['Burghard,', ""I'm"", 'not', 'in', 'the', 'coach', 'with', 'you.', 'Burghard?']"
109,00:05:36.125,00:05:38.708,"[""Isn't"", 'that', 'a', 'bit', 'excessive?']"
