Word,oxford_level,oxford_version
benchmark,C1,5000
beneath,C1,5000
beneficial,B2,5000
beneficiary,C1,5000
beside,B2,5000
besides,B2,5000
best,A1,3000
betray,C1,5000
better,A2,3000
between,A1,3000
bias,B2,5000
bicycle,A1,3000
bid,B2,5000
bill,B2,3000
billion,A2,3000
bin,A2,3000
bind,C1,5000
biography,C1,5000
biological,B2,5000
bishop,C1,5000
bite,B1,3000
bizarre,C1,5000
blade,C1,5000
blanket,B2,5000
block,B1,3000
blog,A1,3000
blood,A2,3000
blow,B2,5000
board,B1,3000
boast,C1,5000
bold,B2,5000
bomb,B1,3000
bombing,B2,5000
booking,B2,5000
boost,B2,5000
border,B1,3000
boring,A1,3000
bother,B1,3000
bottle,A1,3000
bounce,C1,5000
bound,B2,5000
boundary,C1,5000
bow1,C1,5000
bowl,A2,3000
branch,B1,3000
brand,B1,3000
brave,B1,3000
breach,C1,5000
bread,A1,3000
breakdown,C1,5000
breakfast,A1,3000
breakthrough,C1,5000
breath,B1,3000
breathe,B1,3000
breathing,B1,3000
breed,C1,5000
brick,B2,5000
bride,B1,3000
briefly,B2,5000
brilliant,A2,3000
bring,A1,3000
broadband,C1,5000
broadcast,B2,3000
broadcaster,B2,5000
broadly,B2,5000
broken,A2,3000
brown,A1,3000
browser,C1,5000
brush,A2,3000
brutal,C1,5000
bubble,B1,3000
budget,B2,3000
bug,B2,5000
build,A1,3000
bureaucracy,C1,5000
burial,C1,5000
burn,A2,3000
bury,B1,3000
businessman,A2,3000
button,A2,3000
cabin,B2,5000
calculation,C1,5000
camp,A2,3000
campaign,B1,3000
camping,A2,3000
campus,B1,3000
can2,A2,3000
canal,B2,5000
candidate,B1,3000
candle,B2,5000
cannot,A1,3000
canvas,C1,5000
capability,C1,5000
capacity,B2,3000
capital,A1,3000
capitalism,C1,5000
capitalist,C1,5000
car,A1,3000
carbon,B2,5000
career,A1,3000
careful,A2,3000
carefully,A2,3000
careless,B1,3000
cargo,C1,5000
carpet,A2,3000
carriage,C1,5000
carrot,A1,3000
carry,A1,3000
cartoon,A2,3000
carve,C1,5000
case,A2,3000
cash,A2,3000
casino,C1,5000
castle,A2,3000
casual,B2,5000
casualty,C1,5000
catalogue,C1,5000
catch,A2,3000
category,B1,3000
cater,C1,5000
cause,A2,3000
caution,C1,5000
cautious,C1,5000
cave,B2,5000
cease,C1,5000
ceiling,B1,3000
celebrate,A2,3000
celebration,B1,3000
celebrity,A2,3000
cemetery,C1,5000
cent,A2,3000
central,B1,3000
centre,A1,3000
century,A1,3000
ceremony,B1,3000
certain,A2,3000
certainly,A2,3000
certainty,B2,5000
certificate,B2,5000
chain,B1,3000
chair,A1,3000
challenge,B2,3000
challenging,B2,5000
chamber,C1,5000
champion,B1,3000
championship,B2,5000
chance,A2,3000
change,A1,3000
channel,B1,3000
chaos,C1,5000
chapter,B1,3000
character,A2,3000
characteristic,B2,3000
characterize,C1,5000
charity,A2,3000
charm,C1,5000
charming,B2,5000
chart,A1,3000
charter,C1,5000
chase,B2,5000
chat,A2,3000
cheap,A1,3000
check,A1,3000
cheek,B2,5000
cheer,B2,5000
cheerful,B1,3000
cheese,A1,3000
chef,A2,3000
chemical,B1,3000
chemistry,A2,3000
chest,B1,3000
chicken,A1,3000
chief,B2,3000
child,A1,3000
childhood,B1,3000
chip,A2,3000
chocolate,A1,3000
choir,B2,5000
choose,A1,3000
chop,B2,5000
chronic,C1,5000
chunk,C1,5000
church,A2,3000
cigarette,A2,3000
cinema,A1,3000
circle,A2,3000
circuit,B2,5000
circulate,C1,5000
circulation,C1,5000
circumstance,B2,3000
cite,B2,3000
citizenship,C1,5000
city,A1,3000
civic,C1,5000
civilian,C1,5000
civilization,B2,5000
claim,B1,3000
clarify,B2,5000
clarity,C1,5000
clash,C1,5000
class,A1,3000
classical,A2,3000
classification,C1,5000
classify,B2,5000
classroom,A1,3000
clean,A1,3000
clear,A2,3000
clerk,B2,5000
clever,A2,3000
cliff,B2,5000
climate,A2,3000
climb,A1,3000
cling,C1,5000
clinic,B2,5000
clip,B2,5000
closed,A2,3000
closure,C1,5000
clothes/a,C1,5000
clothing,A2,3000
cloud,A2,3000
coalition,C1,5000
coastal,C1,5000
cocktail,C1,5000
cognitive,C1,5000
coincide,C1,5000
coincidence,B2,5000
collaborate,C1,5000
collaboration,C1,5000
collapse,B2,3000
colleague,A2,3000
collect,A2,3000
collective,C1,5000
collector,B2,5000
college,A1,3000
collision,C1,5000
colonial,C1,5000
colony,B2,5000
colour,A1,3000
coloured,B1,3000
colourful,B2,5000
column,A2,3000
columnist,C1,5000
combat,C1,5000
combination,B2,3000
combine,B1,3000
comedy,A2,3000
comfort,B2,3000
comfortable,A2,3000
comic,B2,5000
command,B2,3000
commander,B2,5000
commence,C1,5000
comment,A2,3000
commentary,C1,5000
commentator,C1,5000
commerce,C1,5000
commercial,B1,3000
commission,B2,3000
commissioner,C1,5000
commit,B1,3000
commitment,B2,3000
committee,B2,3000
commodity,C1,5000
common,A1,3000
commonly,B2,3000
communicate,A2,3000
communication,B1,3000
communist,C1,5000
community,A2,3000
companion,C1,5000
company,A1,3000
comparable,C1,5000
comparative,B2,5000
compare,A1,3000
comparison,B1,3000
compassion,C1,5000
compel,C1,5000
compelling,C1,5000
compensate,C1,5000
compensation,C1,5000
compete,A2,3000
competence,C1,5000
competent,C1,5000
competition,A2,3000
competitive,B1,3000
competitor,B1,3000
compile,C1,5000
complain,A2,3000
complaint,B1,3000
complement,C1,5000
complete,A1,3000
completely,A2,3000
completion,B2,5000
complex,B1,3000
complexity,C1,5000
compliance,C1,5000
complicated,B2,3000
complication,C1,5000
comply,C1,5000
component,B2,3000
compose,B2,5000
composer,B2,5000
composition,C1,5000
compound,B2,5000
comprehensive,B2,5000
comprise,B2,5000
compromise,C1,5000
compulsory,B2,5000
compute,C1,5000
computer,A1,3000
conceal,C1,5000
concede,C1,5000
conceive,C1,5000
concentrate,B1,3000
concentration,B2,3000
concept,B2,3000
conception,C1,5000
concerned,B2,3000
concert,A1,3000
concession,C1,5000
conclude,B1,3000
conclusion,B1,3000
concrete,B2,5000
condemn,C1,5000
condition,A2,3000
conduct,B2,3000
confer,C1,5000
conference,A2,3000
confess,B2,5000
confession,C1,5000
confidence,B2,3000
confident,B1,3000
configuration,C1,5000
confine,C1,5000
confirm,B1,3000
confirmation,C1,5000
conflict,B2,3000
confront,C1,5000
confrontation,C1,5000
confuse,B1,3000
confused,B1,3000
confusing,B2,3000
confusion,B2,5000
congratulate,C1,5000
congregation,C1,5000
congressional,C1,5000
connect,A2,3000
connected,A2,3000
connection,B1,3000
conquer,C1,5000
conscience,C1,5000
conscious,B2,3000
consciousness,C1,5000
consecutive,C1,5000
consensus,C1,5000
consent,C1,5000
consequence,B1,3000
consequently,B2,5000
conservation,B2,5000
conservative,B2,3000
conserve,C1,5000
consider,A2,3000
considerable,B2,5000
considerably,B2,5000
consideration,B2,3000
consist,B1,3000
consistency,C1,5000
consistent,B2,3000
consistently,B2,5000
consolidate,C1,5000
conspiracy,B2,5000
constant,B2,3000
constantly,B2,3000
constituency,C1,5000
constitute,C1,5000
constitution,C1,5000
constitutional,C1,5000
constraint,C1,5000
construct,B2,3000
construction,B2,3000
consult,B2,5000
consultant,B2,5000
consultation,C1,5000
consume,B1,3000
consumer,B1,3000
consumption,B2,5000
contact,B1,3000
contain,A2,3000
container,B1,3000
contemplate,C1,5000
contemporary,B2,3000
contempt,C1,5000
contend,C1,5000
contender,C1,5000
content1,B1,3000
content2,C1,5000
contention,C1,5000
contest,B2,3000
context,A2,3000
continent,A2,3000
continually,C1,5000
continue,A2,3000
continuous,B1,3000
contract,B2,3000
contractor,C1,5000
contradiction,C1,5000
contrary,C1,5000
contrast,B1,3000
contribute,B2,3000
contribution,B2,3000
contributor,C1,5000
control,A2,3000
controversial,B2,5000
controversy,B2,5000
convenience,B2,5000
convenient,B1,3000
convention,B2,5000
conventional,B2,5000
conversation,A1,3000
conversion,C1,5000
convert,B2,3000
convey,B2,5000
convict,C1,5000
conviction,C1,5000
convince,B1,3000
convinced,B2,3000
convincing,B2,5000
cook,A1,3000
cooker,A2,3000
cool,B1,3000
cooperate,C1,5000
cooperative,C1,5000
coordinate,C1,5000
coordination,C1,5000
coordinator,C1,5000
cop,C1,5000
cope,B2,5000
copper,C1,5000
copy,A2,3000
core,B2,3000
corner,A2,3000
corporate,B2,3000
corporation,B2,5000
correct,A1,3000
correctly,A2,3000
correspond,C1,5000
correspondence,C1,5000
correspondent,C1,5000
corresponding,C1,5000
corridor,B2,5000
corrupt,C1,5000
cost,A1,3000
costume,B1,3000
cottage,B1,3000
cotton,B1,3000
council,B2,3000
counselling,C1,5000
counsellor,C1,5000
count,A2,3000
counter,B2,5000
counterpart,C1,5000
countless,C1,5000
country,A1,3000
countryside,B1,3000
coup,C1,5000
couple,A2,3000
course,A1,3000
court,B1,3000
courtesy,C1,5000
cousin,A1,3000
cover,A2,3000
coverage,B2,5000
covered,B1,3000
crack,B2,5000
craft,B2,5000
crawl,C1,5000
crazy,A2,3000
cream,A1,3000
creative,A2,3000
creativity,B2,5000
creature,B2,3000
credibility,C1,5000
credible,C1,5000
credit,A2,3000
crime,A2,3000
criminal,A2,3000
critically,B2,5000
criticism,B2,3000
cross,A2,3000
crowd,A2,3000
crowded,A2,3000
cruel,B1,3000
cruise,B2,5000
cry,A2,3000
cue,B2,5000
cultivate,C1,5000
cultural,B1,3000
culture,A1,3000
cupboard,A2,3000
curiosity,C1,5000
curious,B2,5000
curly,A2,3000
currency,B1,3000
current,B1,3000
currently,B1,3000
curriculum,B2,5000
curtain,B1,3000
custody,C1,5000
custom,B1,3000
customer,A1,3000
cut,B1,3000
cute,B2,5000
cycle,A2,3000
dad,A1,3000
daily,A2,3000
dairy,B2,5000
damage,B1,3000
danger,A2,3000
dare,B2,5000
dark,A2,3000
darkness,B2,5000
data,A2,3000
database,B2,5000
dawn,C1,5000
dead,C1,5000
deadline,B2,5000
deadly,B2,5000
dealer,B2,5000
decision-making,C1,5000
decisive,C1,5000
