words,counts
afford,4
fourth,4
staying,4
balcony,4
hold,4
cars,4
boyfriend,4
intended,4
till,4
busy,4
murders,4
desperate,4
cup,4
bust,4
science,4
romantic,4
shop,4
violin,4
lead,4
oi,4
cabs,4
connection,4
cut,4
bottom,4
war,4
boss,4
shuts,4
hope,4
danger,4
skip,4
hurry,4
row,4
mm,4
depends,4
deodorant,4
warning,4
mmm,4
damp,4
violence,4
deduction,4
city,4
hi,4
crack,4
books,4
riding,4
nerves,4
smugglers,4
barts,4
information,4
upset,4
needing,4
missing,4
breath,4
ladies,4
breaking,4
lady,4
siren,4
welcome,4
week,4
item,4
crop,4
break,4
borrow,4
ooh,4
tramway,4
decipher,4
kids,4
main,3
near,3
sleep,3
longer,3
fresh,3
makes,3
intending,3
price,3
previous,3
realise,3
footsteps,3
looks,3
lunch,3
feet,3
mother,3
loud,3
streets,3
mouth,3
moriarty,3
quick,3
finding,3
radius,3
kidding,3
finished,3
fired,3
mummy,3
mundane,3
professional,3
lying,3
killers,3
floor,3
machine,3
mycroft,3
known,3
invisible,3
forgot,3
forgotten,3
steel,3
forward,3
rather,3
mad,3
show,3
miss,3
smell,3
special,3
hm,3
road,3
shoot,3
secretary,3
hairpin,3
report,3
speaking,3
pen,3
safe,3
holiday,3
laughs,3
spider,3
observed,3
lifetime,3
light,3
grunts,3
share,3
hip,3
passed,3
happens,3
overnight,3
pa,3
helping,3
package,3
helps,3
page,3
menu,3
operatives,3
painted,3
sorted,3
seconds,3
returning,3
leaves,3
metallic,3
shoes,3
meeting,3
meet,3
split,3
soap,3
gift,3
stand,3
idiot,3
places,3
market,3
lives,3
mess,3
map,3
general,3
label,3
recognise,3
gas,3
kong,3
started,3
running,3
pizzicato,3
shoulder,3
route,3
regularly,3
likes,3
mill,3
hong,3
sponsor,3
phoned,3
photograph,3
seems,3
picture,3
line,3
rubbish,3
linked,3
matters,3
notes,3
glass,3
run,3
signal,3
frankly,3
study,3
drug,3
em,3
electronic,3
taking,3
turned,3
thud,3
throat,3
bart,3
based,3
basically,3
tan,3
childish,3
definitely,3
bedroom,3
wedding,3
weapon,3
buy,3
enabled,3
auction,3
tried,3
appointment,3
tie,3
cold,3
erm,3
wired,3
entry,3
assuming,3
clicks,3
trips,3
enjoy,3
true,3
clock,3
climbed,3
climb,3
dry,3
chances,3
evidence,3
drove,3
vicious,3
brian,3
tells,3
bright,3
career,3
bring,3
bringing,3
british,3
broke,3
camera,3
distance,3
texted,3
value,3
buzzes,3
dinner,3
diary,3
brand,3
bought,3
blares,3
wasting,3
dropped,3
thousands,3
blacked,3
warned,3
team,3
bodies,3
dragon,3
wails,3
unlikely,3
dried,3
central,3
bother,3
caught,3
works,3
tuesday,3
concerned,3
alibi,3
aneurysm,3
tong,3
computer,3
criminal,3
expensive,3
expert,3
worried,3
transport,3
explanation,3
explosion,3
consider,3
facts,3
alone,3
consulting,3
cuppa,3
air,3
ahead,3
ages,3
afternoon,3
traffic,3
conversation,3
father,3
country,3
traders,3
act,3
track,3
accident,3
absolutely,3
