title,title_kr,title_en,genre,age_rating,director,release_year,running_time,story,subs_path,img_path,type
In.Time,인 타임,In Time,"스릴러, SF, 드라마, 범죄, 액션",12,Andrew Niccol,2011,1시간 49분,"커피 1잔.. 4분, 권총 1정.. 3년, 스포츠카 1대.. 59년!  모든 비용은 시간으로 계산된다!!  근 미래, 모든 인간은 25세가 되면 노화를 멈추고, 팔뚝에 새겨진 ‘카운트 바디 시계’에 1년의 유예 시간을 제공받는다. 이 시간으로 사람들은 음식을 사고, 버스를 타고, 집세를 내는 등, 삶에 필요한 모든 것을 시간으로 계산한다. 하지만, 주어진 시간을 모두 소진하고 13자리 시계가 0이 되는 순간, 그 즉시 심장마비로 사망한다. 때문에 부자들은 몇 세대에 걸쳐 시간을 갖고 영생을 누릴 수 있게 된 반면, 가난한 자들은 하루를 겨우 버틸 수 있는 시간을 노동으로 사거나, 누군가에게 빌리거나, 그도 아니면 훔쳐야만 한다.  돈으로 거래되는 인간의 수명!  “살고 싶다면, 시간을 훔쳐라!!”  윌 살라스(저스틴 팀버레이크)는 매일 아침 자신의 남은 시간을 보며 충분한 양의 시간을 벌지 못하면, 더는 살 수 없다는 사실을 깨달으며 눈을 뜬다. 그러던 어느 날, 수천 년을 살수 있는 헤밀턴이란 남자를 위험에서 구해준 윌은 그에게서 소수의 영생을 위해 다수가 죽어야 하는 현 시스템의 비밀을 듣게 되지만, 그 남자가 100년의 시간을 물려주고 시체로 발견되면서 졸지에 살인자의 누명을 쓰고 쫓기게 된다. 사람들의 눈을 피해 부자들만이 모여 사는 ‘뉴 그리니치’로 잠입한 그는 끈질긴 타임 키퍼 리온(킬리언 머피)의 추적으로 체포될 위기를 맞지만, 와이스 금융사의 회장 딸인 실비아(아만다 사이프리드)를 인질로 삼아 간신히 탈출한다. 이때부터 윌은 실비아와 함께 누명을 벗고 전세계를 통제하는 시스템의 비밀을 파헤치려 하는데… ",https://netflixschool-script-csv.s3.amazonaws.com/In.Time_2011.csv,https://netflixschool-posters.s3.amazonaws.com/In.Time_2011.jpg,1
Inception,인셉션,Inception,"액션, SF, 스릴러",12,Christopher Nolan,2010,2시간 28분,"타인의 꿈과 접속해 생각을 빼낼 수 있는 근미래, 돔 코브는 꿈의 보안 프로그래머이자 동시에 침입자다. 그는 일본인 사업가 사이토의 제안에 따라 거대 합병 기업의 총수가 될 피셔의 꿈을 설계하여 기업 합병을 막으려 든다. 그 일을 성사시키면 코브는 사이토의 도움으로 아내의 살해범으로 몰린 자신의 누명을 뒤로 하고 사랑스런 자녀들이 있는 집으로 돌아갈 수 있다. 마침내 코브 일행은 꿈 안의 꿈 안의 또 꿈이라는 경로를 거치며 피셔의 꿈과 무의식 깊숙한 곳을 설계하고 침투한다. ",https://netflixschool-script-csv.s3.amazonaws.com/Inception_2010.csv,https://netflixschool-posters.s3.amazonaws.com/Inception_2010.jpg,1
Interstellar,인터스텔라,Interstellar,"액션, 드라마, SF, 스릴러",12,Christopher Nolan,2014,2시간 49분,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데... ",https://netflixschool-script-csv.s3.amazonaws.com/Interstellar_2014.csv,https://netflixschool-posters.s3.amazonaws.com/Interstellar_2014.jpg,1
It_s.Complicated,사랑은 너무 복잡해,It's Complicated,"로맨스, 코미디, 드라마, Made in Europe",18,Nancy Meyers,2009,2시간 1분,"베이커리 숍을 운영하며 사회적으로 성공한 이혼녀 제인. 안정된 생활을 유지해가던 그녀에게 어느 날, 20살 어린 젊은 여자와 재혼한 전 남편 제이크가 찾아온다. 점점 결혼 전 연애시절을 돌이키려는 제이크. 이와 동시에 제인의 집 인테리어 공사를 맡은 건축가 아담이 제인에게 조금씩 호감을 보이는데… ",https://netflixschool-script-csv.s3.amazonaws.com/It_s.Complicated_2009.csv,https://netflixschool-posters.s3.amazonaws.com/It_s.Complicated_2009.jpg,1
Jumanji_.Welcome.to.the.Jungle,쥬만지: 새로운 세계,Jumanji: Welcome to the Jungle,"판타지, 액션, 코미디",12,Jake Kasdan,2017,1시간 59분,"학교 창고를 청소하다가 낡은 ‘쥬만지’ 비디오 게임을 발견한 네 명의 아이들. 게임 버튼을 누르는 순간 화면 속으로 빨려 들어가버렸다! 거대한 몸집의 고고학자 닥터 브레이브스톤(드웨인 존슨)으로 변한 공부벌레 스펜서, 슈퍼 여전사 루비 라운드하우스(카렌 길런)가 된 운동신경 제로 마사, 저질체력의 동물학 전문가 무스 핀바(케빈 하트)가 된 예비 풋볼선수 프리지, 중년의 지도 연구학 교수 셸리 오베론(잭 블랙)으로 변해버린 SNS 중독 퀸카 베서니까지. 이들은 자신의 아바타가 가진 능력으로 게임 속 세계를 구하는 미션을 수행하고 현실로 돌아가야만 하는데…. ",https://netflixschool-script-csv.s3.amazonaws.com/Jumanji_.Welcome.to.the.Jungle_2017.csv,https://netflixschool-posters.s3.amazonaws.com/Jumanji_.Welcome.to.the.Jungle_2017.jpg,1
Kill.Bill_.Vol..1,킬 빌: 1부,Kill Bill: Vol. 1,"범죄, 드라마, 스릴러, 액션",Limited,Quentin Tarantino,2003,1시간 51분,"어느 한적한 오후, 행복한 결혼식을 앞둔 더 브라이드와 그녀의 신랑, 그리고 모든 하객들이 의문의 조직에 의해 처참하게 살해당한다. 그로부터 5년 후, 코마상태의 더 브라이드는 죽음 직전까지 갔다가 어렵게 깨어난다. 그리고 피로 얼룩진 과거가 그녀의 뇌리에 스치면서 서서히 복수의 리스트를 작성하기 시작한다. 그녀는 전세계적으로 악명높은 살인조직 데들리 바이퍼의 일원이었고, 조직의 보스인 빌을 포함한 5명의 일원이 새로운 삶을 앞둔 그녀를 처참하게 무너뜨렸음이 밝혀지자, 그녀는 텍사스, 멕시코, 일본을 방문하며 가장 잔인한 복수를 실행하게 되는데... ",https://netflixschool-script-csv.s3.amazonaws.com/Kill.Bill_.Vol..1_2003.csv,https://netflixschool-posters.s3.amazonaws.com/Kill.Bill_.Vol..1_2003.jpg,1
Klaus,클라우스,Klaus,"코미디, 가족, 애니메이션, Made in Europe",All,Sergio Pablos,2019,1시간 36분,공기도 인심도 꽁꽁 얼어붙은 마을. 활기 넘치는 젊은 우체부와 세상을 등지고 장난감을 만드는 목수. 작은 장난감 선물로 냉기가 사라질 수 있을까. 전혀 어울리지 않는 둘의 우정이 차디찬 세상에 온기를 불어넣는다. 《슈퍼배드》 작가의 산타 탄생 이야기. ,https://netflixschool-script-csv.s3.amazonaws.com/Klaus_2019.csv,https://netflixschool-posters.s3.amazonaws.com/Klaus_2019.jpg,1
Kung.Fu.Panda,쿵푸팬더,Kung Fu Panda,"애니메이션, 가족, 코미디, 액션, 드라마, 판타지",All,Mark Osborne,2008,1시간 30분,"평화의 계곡에서 아버지의 국수 가게를 돕고 있는 팬더 포. 아버지는 국수의 비법을 알려주어 가업을 잇게 하고 싶지만, 포의 관심사는 오로지 쿵푸 마스터. 가게 일은 뒷전으로 하고 쿵푸의 비법이 적힌 용문서의 전수자를 정하는 무적의 5인방 대결을 보러 시합장을 찾은 포. 그런데 마을의 현인 우그웨이 대사부가 포를 용문서의 전수자로 점지하는 이변이 일어난다. 무적의 5인방은 물론 시푸 사부 역시 이 사태를 받아들이지 못하는 가운데, 용문서를 노리고 어둠의 감옥에서 탈출한 타이 렁이 마을을 습격해오자 그를 막아야 하는 미션이 포에게 떨어지는데... ",https://netflixschool-script-csv.s3.amazonaws.com/Kung.Fu.Panda_2008.csv,https://netflixschool-posters.s3.amazonaws.com/Kung.Fu.Panda_2008.jpg,1
Kung.Fu.Panda.2,쿵푸팬더 2,Kung Fu Panda 2,"애니메이션, 가족, 코미디, 드라마, 판타지, 액션",All,Jennifer Yuh Nelson,2011,1시간 30분,"그토록 원하던 용의 전사가 되어 무적의 5인방과 함께 평화의 계곡을 지키게 된 포. 진정한 용의 전사로 거듭나기 위해 시푸 사부와 쿵푸 수련에 매진하던 중, 셴 선생이 위대한 쿵푸 사부들을 하나 둘씩 제거하고 있다는 소식을 듣게 된다.  여전히 바람을 가르는 주먹의 소리보다 배에서 울리는 꼬르륵 소리가 더 크고, 오랜 숙적인 계단 앞에서는 맥을 못 추는 천방지축 팬더 포. 이제 막 정식 수련을 시작하려는 포에게 쿵푸를 지켜야 한다는 막중한 미션이 주어지고, 포는 무적의 5인방과 함께 길을 떠난다. 과연 포는 쿵푸의 대가들도 막지 못한 셴 선생의 비밀병기에 맞서 쿵푸를 지켜낼 수 있을까? ",https://netflixschool-script-csv.s3.amazonaws.com/Kung.Fu.Panda.2_2011.csv,https://netflixschool-posters.s3.amazonaws.com/Kung.Fu.Panda.2_2011.jpg,1
Kung.Fu.Panda.3,쿵푸팬더 3,Kung Fu Panda 3,"코미디, 액션, 드라마, 가족, 판타지, 애니메이션",All,Alessandro Carloni,2016,1시간 35분,"어느 날 우연히 어린 시절 잃어버렸던 진짜 팬더 아버지를 만난 포는 아버지 리와 함께 팬더들이 어울려 사는 비밀스러운 팬더 마을로 향한다. 자신 못지 않게 여유와 흥 넘치는 팬더들과 즐거운 시간을 보내는 포. 하지만 모든 쿵푸 마스터들을 제압하며 전세계를 위협하는 악당 카이의 등장으로 포는 예상치 못했던 불가능한 도전에 맞닥뜨리게 된다. 놀기 좋아하고, 먹는 게 행복이며, 덤벙대는 게 특기인 팬더 친구들에게  궁극의 쿵푸를 전수해야 하는 것.  쿵푸 훈련법 마스터에 나선 포의 팬더 인생 최대의 도전이 시작된다. ",https://netflixschool-script-csv.s3.amazonaws.com/Kung.Fu.Panda.3_2016.csv,https://netflixschool-posters.s3.amazonaws.com/Kung.Fu.Panda.3_2016.jpg,1
Madagascar_.Escape.2.Africa,마다가스카 2,Madagascar: Escape 2 Africa,"코미디, 가족, 애니메이션",All,Eric Darnell,2008,1시간 28분,"마다가스카 섬에서 좌충우돌 모험을 끝낸 뉴요커 4인방 사자 알렉스(벤 스틸러), 얼룩말 마티(크리스 락), 기린 멜먼(데이빗 쉼머), 하마 글로리아(제이다 핀켓 스미스)는 펭귄 특공대가 제작한 비행기 ‘에어 펭귄’을 타고 뉴욕으로 컴백하던 중 또 다시 미지의 세계에 불시착하게 된다. 이번에는 말로만 듣던 진짜 生 야생 ‘아프리카’! 그들은 각자 헤어졌던 가족, 새친구, 연인을 만나 生 야생에 적응해간다. 그러던 중, 평화롭던 아프리카에 가뭄이 찾아오고 뉴요커 4인방은 혼란에 빠진 아프리카를 구하기 위해 뭉치는데…  과연 함께해도 모자란 이들이 위기의 아프리카를 구할 수 있을까?  그리고 아프리카를 탈출해 무사히 집으로 돌아갈 수 있을까? ",https://netflixschool-script-csv.s3.amazonaws.com/Madagascar_.Escape.2.Africa_2008.csv,https://netflixschool-posters.s3.amazonaws.com/Madagascar_.Escape.2.Africa_2008.jpg,1
Matilda,마틸다,Matilda,"판타지, 코미디, 가족, Made in Europe",All,Danny DeVito,1996,1시간 38분,한심한 부모와 사악한 교장에 시달리던 어린 소녀가 새롭게 발견한 능력을 활용해 자신을 괴롭힌 이들에게 귀여운 복수를 시작한다. ,https://netflixschool-script-csv.s3.amazonaws.com/Matilda_1996.csv,https://netflixschool-posters.s3.amazonaws.com/Matilda_1996.jpg,1
Monty.Python.and.the.Holy.Grail,몬티 파이튼의 성배,Monty Python and the Holy Grail,"판타지, 코미디",12,Terry Gilliam,1975,1시간 31분,"아더왕은 영국 전역을 돌아다니며 자신들을 보좌할 기사들을 모집한다. 결국 용맹한 기사들 랑셀럿, 로빈, 베드베어 그리고 갈라드를 합류시킨 아더왕은 신의 계시에 따라 잃어버린 성배를 찾으러간다. 각각 흩어져 성배의 수색을 하지만 용맹한만큼 멍청하기도한 기사들은 성배를 찾기는 커녕 소동만을 일으키고 만다. ",https://netflixschool-script-csv.s3.amazonaws.com/Monty.Python.and.the.Holy.Grail_1975.csv,https://netflixschool-posters.s3.amazonaws.com/Monty.Python.and.the.Holy.Grail_1975.jpg,1
Morning.Glory,굿모닝 에브리원,Morning Glory,"코미디, 드라마, 로맨스",15,Roger Michell,2010,1시간 47분,지방방송국 PD였던 베키 풀러는 해고된 뒤 어렵게 메이저방송국에 취직한다. 하지만 그녀가 맡은 프로그램은 시청률 최저의 모닝쇼 ‘데이 브레이크’. 베키는 시청률을 올리기 위해 전설의 앵커 마이크 포메로이를 영입하지만 그것은 일생일대 최악의 선택이 되고 이로 인해 새로 시작된 사랑도 위기에 빠지는데… ,https://netflixschool-script-csv.s3.amazonaws.com/Morning.Glory_2010.csv,https://netflixschool-posters.s3.amazonaws.com/Morning.Glory_2010.jpg,1
Notting.Hill,노팅 힐,Notting Hill,"로맨스, 드라마, 코미디",12,Roger Michell,1999,2시간 4분,"윌리엄 태커(휴 그랜트분)는 웨스트 런던의 ‘노팅 힐’에 사는 소심한 남자. 역시 독신의 괴상한 친구 스파이크(리스 아이판스 분)와 함께 살고있는 그는, 노팅힐 시장 한쪽 구석에 위치한 조그마한 여행서적 전문점을 운영하며 살고 있다. 그에게는 미래에 대한 포부나 설계는 사치에 불과하다. 여느 때와 마찬가지로 무미건조한 하루를 보내고 있던 그는 세계적으로 유명한 인기 영화배우 안나 스콧(줄리아 로버츠 분)이 그의 책방 문을 열고 들어와 책을 사고 나가자 잠깐 동안에 일어난 이 엄청난 사건에 어쩔 줄을 모른다. ",https://netflixschool-script-csv.s3.amazonaws.com/Notting.Hill_1999.csv,https://netflixschool-posters.s3.amazonaws.com/Notting.Hill_1999.jpg,1
Passengers,패신저스,Passengers,"SF, 드라마, 로맨스, 스릴러",12,Morten Tyldum,2016,1시간 56분,"120년 후의 개척 행성으로 떠나는 초호화 우주선 아발론 호.  여기엔 새로운 삶을 꿈꾸는 5,258명의 승객이 타고 있다.  그러나 알 수 없는 이유로 인해 짐 프레스턴(크리스 프랫)과 오로라 레인(제니퍼 로렌스)은  90년이나 일찍 동면 상태에서 깨어나게 된다.  서서히 서로를 의지하게 되는 두 사람은  우주선에 치명적인 결함이 있다는 사실을 발견하게 되고,  마침내 그들이 남들보다 먼저 깨어난 이유를 깨닫게 되는데… ",https://netflixschool-script-csv.s3.amazonaws.com/Passengers_2016.csv,https://netflixschool-posters.s3.amazonaws.com/Passengers_2016.jpg,1
Penguins.of.Madagascar_.The.Movie,마다가스카의 펭귄,Penguins of Madagascar,"코미디, 애니메이션, 가족, SF",All,Eric Darnell,2014,1시간 32분,"넘치는 유머, 감쪽 같은 위장술, 똑소리 나는 브레인! 날 때부터 남달랐던 악동 펭귄 스키퍼, 코왈스키, 리코, 프라이빗! 어느 날 그들 앞에 복수심에 불타는 문어박사 옥토브레인이 나타나고, 그의 거대한 음모를 알게 된 펭귄 4총사는 비밀 조직 ‘노스윈드’와 함께 세상을 구할 사상 최대의 작전을 펼치는데…! ",https://netflixschool-script-csv.s3.amazonaws.com/Penguins.of.Madagascar_.The.Movie_2014.csv,https://netflixschool-posters.s3.amazonaws.com/Penguins.of.Madagascar_.The.Movie_2014.jpg,1
