Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized,proper_noun,word_level,camb_level,category
teamwork,NN,0,0,NN,N,Y,N,N,B2,B3,0.0,True,False,4,C1,NN
after-all,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
rumor,C1,5000,0,NN,N,N,Y,Y,A4,A4,1.0,True,False,4,B2,NN
selfishness,NN,0,0,NN,N,N,N,N,C1,C1,0.0,True,False,4,C1,NN
to-the-contrary,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
self,B2,3000,0,NN,Y,N,N,N,A2,A2,2.0,True,False,4,C1,NN
awareness,B2,5000,0,NN,N,N,N,N,A3,A3,1.0,True,False,4,C1,NN
toast,NN,0,0,NN,N,Y,N,N,B1,B1,0.0,True,False,4,C1,NN
chore,NN,0,0,NN,N,Y,N,N,B2,B2,1.0,True,False,4,C1,NN
taxation,NN,0,5,social_studies,N,Y,N,Y,B1,B1,1.0,True,False,4,NN,social_studies
bribe,NN,0,6,social_studies,N,N,N,Y,B2,B1,1.0,True,False,4,C1,social_studies
unmarried,NN,0,9,social_studies,N,Y,N,N,B2,B3,1.0,False,False,4,C1,social_studies
amendment,C1,5000,3,social_studies,N,N,N,N,A3,A2,1.0,True,False,4,C1,social_studies
pyramid,NN,0,0,NN,N,Y,N,N,B1,B1,1.0,True,False,4,C1,NN
backdrop,C1,5000,0,NN,N,N,N,N,B2,B2,0.0,True,False,4,NN,NN
at-first-sight,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
unnecessarily,NN,0,0,NN,N,N,N,N,B3,B3,1.0,False,False,4,C1,NN
agency,B2,3000,4,social_studies,N,N,N,N,A1,A1,2.0,True,False,4,C1,social_studies
backcountry,NN,0,5,social_studies,N,N,N,N,C1,NN,0.0,False,False,4,NN,social_studies
versus,C1,5000,0,NN,Y,N,N,N,A3,A2,1.0,False,False,4,C1,NN
affordable,B2,5000,9,general,N,Y,Y,Y,B1,B1,0.0,True,False,4,C1,general
back-out,NN,0,0,NN,N,N,N,N,NN,NN,-1.0,,,4,C1,NN
