albeit		C2			
insofar as		C2			
only		C2		communication	
however		C2			
or	EXPLAIN	C2			
caution		C2	verb	communication	
narrative		C2	noun	arts and media	
contract	DISEASE	C2	verb	body and health	
address	SPEAK	C2	verb	communication	
mountain	PILE	C2	noun	describing things	
discipline	KNOWLEDGE	C2	noun	education	
expenditure		C2	noun	money	
kick	FEELING	C2	noun	people: personality	
click	PEOPLE	C2	verb	relationships	
inhabit		C2	verb		
infant		C2	noun		
offspring		C2	noun		
inquiry	ASKING QUESTIONS	C2	noun		
elapse		C2	verb		
excel		C2	verb		
applaud	PRAISE	C2	verb		
compromise	HARM	C2	verb		
deem		C2	verb		
disclose		C2	verb		
endorse		C2	verb		
enjoy	GOOD SITUATION	C2	verb		
eradicate		C2	verb		
erode	DESTROY	C2	verb		
examine	TEST	C2	verb		
exemplify		C2	verb		
exercise	USE	C2	verb		
infer		C2	verb		
merit		C2	verb		
commence		C2	verb		
carrot	REWARD	C2	noun		
character	PERSON	C2	noun		
crush	LOVE	C2	noun		
dump	MESSY PLACE	C2	noun		
gang	FRIENDS	C2	noun		
guts	ORGANS	C2	noun		
click	IDEA	C2	verb		
hit	THINK	C2	verb		
land	COUNTRY	C2	noun		
devil	BADLY-BEHAVED PERSON	C2	noun		
intolerance		C2	noun	people: personality	
impatience		C2	noun	people: personality	
intruder	CRIME	C2	noun	crime	
misinterpretation		C2	noun	communication	
disgust		C2	noun	people: personality	
import	ACTIVITY	C2	noun	work	
insomnia		C2	noun	body and health	
introvert		C2	noun	people: personality	
intervene		C2	verb	people: actions	
misinterpret		C2	verb	communication	
official		C2	noun	work	
assurance	CONFIDENCE	C2	noun	people: personality	
ignorance		C2	noun	people: personality	
coherence	CLEAR	C2	noun	communication	
innocence	NOT EXPERIENCED	C2	noun	people: personality	
observer		C2	noun	people: actions	
master	SKILLED PERSON	C2	noun	people: personality	
counter	DISC	C2	noun	shopping	
composition	ARRANGEMENT	C2	noun	arts and media	
composition	WRITING MUSIC	C2	noun	arts and media	
complexion		C2	noun	body and health	
complication	MEDICAL PROBLEM	C2	noun	body and health	
constitution	HEALTH	C2	noun	body and health	
legislation		C2	noun	crime	
conviction	CRIME	C2	noun	crime	
devastation		C2	noun	describing things	
orientation	TRAINING	C2	noun	education	
depression	ECONOMY	C2	noun	money	
disposition		C2	noun	people: personality	
orientation	INTERESTS	C2	noun	people: personality	
irritation		C2	noun	people: personality	
attraction	FEELING	C2	noun	relationships	
mission	JOB	C2	noun	work	
optimism		C2	noun	people: personality	
capitalism		C2	noun	politics	
materialist		C2	noun	people: personality	
longevity		C2	noun	body and health	
mortality		C2	noun	body and health	
clarity		C2	noun	communication	
hostility		C2	noun	people: personality	
humanity	KINDNESS	C2	noun	people: personality	
humility		C2	noun	people: personality	
integrity		C2	noun	people: personality	
imprisonment		C2	noun	crime	
appointment	JOB	C2	noun	work	
cheerfulness		C2	noun	people: personality	
coldness	CHARACTER	C2	noun	people: personality	
coolness	CALM	C2	noun	people: personality	
coolness	UNFRIENDLY	C2	noun	people: personality	
openness		C2	noun	people: personality	
anchor	JOB	C2	noun	arts and media	
narrator		C2	noun	arts and media	
contraception		C2	noun	body and health	
extremist		C2	noun	politics	
contraceptive		C2	noun	body and health	
cry	ANIMAL/BIRD	C2	noun	animals	
nest	BIRDS	C2	noun	animals	
nest		C2	verb	animals	
bow	INSTRUMENT	C2	noun	arts and media	
feature	NEWSPAPER	C2	noun	arts and media	
flashback	STORY	C2	noun	arts and media	
house	THEATRE	C2	noun	arts and media	
masterpiece		C2	noun	arts and media	
melody		C2	noun	arts and media	
note	MUSIC	C2	noun	arts and media	
organ	MUSIC	C2	noun	arts and media	
brass	MUSIC	C2	noun	arts and media	
harmony	MUSIC	C2	noun	arts and media	
accompany	MUSIC	C2	verb	arts and media	
antibiotic		C2	noun	body and health	
blister		C2	noun	body and health	
calf	LEG	C2	noun	body and health	
case	ILLNESS	C2	noun	body and health	
corpse		C2	noun	body and health	
disk	BACK	C2	noun	body and health	
donor	BLOOD/ORGANS	C2	noun	body and health	
fist		C2	noun	body and health	
flashback	MEMORY	C2	noun	body and health	
joint	BODY PART	C2	noun	body and health	
kidney		C2	noun	body and health	
knuckle		C2	noun	body and health	
needle	MEDICAL	C2	noun	body and health	
nerve	PART OF THE BODY	C2	noun	body and health	
nostril		C2	noun	body and health	
diarrhea		C2	noun	body and health	
diagnosis		C2	noun	body and health	
labor	BIRTH	C2	noun	body and health	
immune system		C2	noun	body and health	
attack	DISEASE	C2	verb	body and health	
diagnose		C2	verb	body and health	
infect	PLACE/SUBSTANCE	C2	verb	body and health	
conceive	BABY	C2	verb	body and health	
neck	PART OF CLOTHING	C2	noun	clothes	
necktie		C2	noun	clothes	
appeal	REQUEST	C2	noun	communication	
channel	COMMUNICATION	C2	noun	communication	
cliché		C2	noun	communication	
groan		C2	noun	communication	
inquiry	PROCESS	C2	noun	communication	
label	WORD	C2	noun	communication	
margin	SPACE	C2	noun	communication	
motion	SUGGESTION	C2	noun	communication	
abuse	LANGUAGE	C2	noun	communication	
attack	CRITICISM	C2	noun	communication	
dialect		C2	noun	communication	
dialogue	DISCUSSION	C2	noun	communication	
dispute		C2	noun	communication	
implication	SUGGESTION	C2	noun	communication	
metaphor		C2	noun	communication	
groan		C2	verb	communication	
moan	COMPLAIN	C2	verb	communication	
allege		C2	verb	communication	
condemn		C2	verb	communication	
imply	SUGGEST	C2	verb	communication	
introduce	TO AN AUDIENCE	C2	verb	communication	
maintain	SAY SOMETHING IS TRUE	C2	verb	communication	
exclaim		C2	verb	communication	
lobby		C2	verb	communication	
lawsuit		C2	noun	crime	
massacre		C2	noun	crime	
counsel		C2	noun	crime	
custody	PRISON	C2	noun	crime	
convict		C2	verb	crime	
acre		C2	noun	describing things	
fake	COPY	C2	noun	describing things	
outline	SHAPE	C2	noun	describing things	
measure	AMOUNT	C2	noun	describing things	
instruct	TEACH	C2	verb	education	
casserole	CONTAINER	C2	noun	food and drink	
core	FRUIT	C2	noun	food and drink	
dash	AMOUNT	C2	noun	food and drink	
casserole	FOOD	C2	noun	food and drink	
dice		C2	verb	food and drink	
balcony	THEATER	C2	noun	homes and buildings	
doorway		C2	noun	homes and buildings	
loft	SPACE	C2	noun	homes and buildings	
loft	APARTMENT	C2	noun	homes and buildings	
loft	ROOM	C2	noun	homes and buildings	
flesh	BODY	C2	noun	homes and buildings	
bid	BUY	C2	noun	money	
donor	MONEY/GOODS	C2	noun	money	
legacy	MONEY/PROPERTY	C2	noun	money	
offer	PAYMENT	C2	noun	money	
disposable income		C2	noun	money	
means	MONEY	C2	noun	money	
bed	BOTTOM	C2	noun	natural world	
deposit	SUBSTANCE	C2	noun	natural world	
astronomy		C2	noun	natural world	
coral		C2	noun	natural world	
hail	ICE	C2	noun	natural world	
coastline		C2	noun	natural world	
break	STORM	C2	verb	natural world	
erupt		C2	verb	natural world	
erode	REMOVE	C2	verb	natural world	
move	POSITION CHANGE	C2	noun	people: actions	
gaze		C2	noun	people: actions	
cling	HOLD TIGHT	C2	verb	people: actions	
